gene,l2fc_12h_RMC2C,qval_12h_RMC2C,l2fc_48h_RMC2C,qval_48h_RMC2C,l2fc_12h_RMC219,qval_12h_RMC219,l2fc_48h_RMC219,qval_48h_RMC219,mean_l2fc_48h
SMARCB1,8.71223935668532,1.05834805963646e-46,10.6940305887389,2.59622904736794e-70,5.85636968622469,2.80524973731573e-230,5.67133940748694,3.92413298173395e-215,8.182684998112919
UNC5C,3.35924722998295,0.0279925137693338,7.38836051768094,1.19218521342124e-08,2.67505266441715,0.0821350296768892,3.60297242444767,2.82510968547849e-06,5.495666471064306
SLC16A12,5.61341044299164,9.53130577488112e-05,6.86221414681548,6.26462007371266e-07,3.5495582141784,0.023055366931703,4.11647669588085,1.53294017739972e-05,5.489345421348165
CYP1A1,1.29390309558809,0.0141720723852454,4.2615124906102,3.90754848925847e-27,2.0736637967352,1.38439540798267e-06,4.28999389065913,2.75063908736192e-39,4.275753190634665
SPARC,-0.397596281881503,0.221826908897155,4.45016019896095,1.52286139708888e-154,1.14518754849386,0.999847911406781,3.26269084878379,0.000347934694393225,3.85642552387237
SPTLC3,-0.919681129147877,0.726579010961566,3.50899817734599,0.00470263864824482,0.570998752959846,0.999847911406781,4.13556265255793,5.53039126175545e-05,3.82228041495196
THRB,4.09005934552098,0.014043455470134,6.18098709217611,2.30802544378806e-05,0.472778057892316,0.999847911406781,1.35697420926165,0.000848179086281768,3.76898065071888
PDK4,0.672321638586327,0.617600414426236,2.78928747117636,0.00144681121207939,2.72755044863731,0.999847911406781,4.18263946270226,0.00897293639420113,3.48596346693931
PBX1,0.547627267470304,0.865232519664553,4.40543628231783,0.00911706443846758,-0.00787150165731583,0.999847911406781,2.27724458242013,0.00793013904988451,3.3413404323689804
LONRF3,2.66363274844548,0.0484833799178147,3.11822389935496,0.0126715072688101,3.14340193129995,0.999847911406781,3.47771396396093,0.0165431077172016,3.2979689316579446
IL6R,2.23385305276984,7.29076281935974e-30,4.48257462973499,8.2113834524828e-150,1.9094319538382,4.36149054306618e-06,1.60742291022734,1.0044906548391e-05,3.044998769981165
BMF,0.360404146898078,0.612553980375196,4.22657701565299,2.54756273492765e-28,0.0890196143217998,0.999847911406781,1.78925879445475,1.12346220720473e-15,3.00791790505387
BMP4,2.45378940894803,0.110924472799777,4.79487859916682,0.000165161439331422,0.45653719907832,0.999847911406781,1.17357226295417,0.0454937545733667,2.984225431060495
CLCA2,-1.48239540300899,0.000191825268437256,3.34740447272243,3.71373020415939e-62,0.71369927212866,0.999847911406781,2.57332546539528,0.0218539980511653,2.960364969058855
L1CAM,-0.22545595143639,0.0883757259627484,3.19286096656002,0.0,2.35147874503542,0.00224575244616278,2.64954848137715,1.44404746739939e-06,2.921204723968585
RP4-663N10.1,-1.78573366385158,0.478774849085134,4.54744315864032,0.000615645792187467,-0.576165521422997,0.999847911406781,1.23116178922417,0.000983870877980556,2.889302473932245
RP11-1113L8.1,2.57222215530271,0.18726490028287,4.64857553838244,0.00348427849272068,0.885810419353796,0.999847911406781,1.07648481664449,0.0312460752571367,2.862530177513465
PKIB,0.675244403273909,0.591338512551884,3.64131841333241,1.99942109303849e-06,1.53599085271156,0.116185702852346,1.95264200740021,3.81286293366016e-05,2.79698021036631
