gene,log2fc,pvalue,qvalue
ASCL1,7.195934160974964,1.5733827294907806e-12,3.268702620517096e-08
CEACAM5,6.189907950747234,2.9305060514997263e-06,0.0023958871501552933
MS4A8B,5.578827538051177,2.373431650273807e-08,0.00012327010633609583
DDC,5.296566028661298,6.8588910714855304e-09,4.7497820670037294e-05
LOC145837,5.003053070967797,6.367200251831319e-07,0.0008818572348786377
TSPAN8,4.101982487638683,1.3851672627464635e-05,0.006540193155354041
KRT15,4.075451772848099,1.8336560412118182e-05,0.007618840851235104
CNTNAP2,3.9646955672189534,0.0002664639330894734,0.03817784972368145
KRTAP12-2,3.8865165418759378,4.3531652900672657e-07,0.0007371302343560619
HS3ST6,3.8451572215801644,3.5469562771452924e-07,0.0007371302343560619
DAPL1,3.841178647574997,2.3594538408765506e-06,0.0023958871501552933
SCGN,3.8362334861848737,0.00016484109204283225,0.028070276124506886
PRR15L,3.8258791326733848,3.974416058753448e-05,0.013106110098508393
HOXB8,3.766022562613421,3.894165845775802e-05,0.013106110098508393
SCNN1A,3.7463004653378533,9.094146077931882e-05,0.022158154611101318
SCN3A,3.7101203840988144,2.0158874753846986e-07,0.0006041918464982684
C8orf47,3.6996082234023424,4.213956046787522e-05,0.013678896386251681
FOXA2,3.690234744777197,3.840812297546126e-06,0.002602481983854675
KRTAP10-11,3.679712743015469,3.2291138485847517e-06,0.0023958871501552933
AGMO,3.6676979855690974,0.0002559899039918559,0.037452044052329624
OR51G2,3.6392867848883474,3.820427417959633e-06,0.002602481983854675
GLYATL3,3.617265277635867,9.893319432284999e-05,0.022310472226950564
CACNA1A,3.5524738672126004,3.0176496088810935e-06,0.0023958871501552933
SLITRK6,3.511779499437504,0.0001067834709741399,0.022431660673554166
AGR3,3.4778954469020684,0.00016926801393186942,0.028359217656730544
OR51A4,3.4704654618361346,3.2088792828131642e-06,0.0023958871501552933
OR51F2,3.439405018984829,1.5596809854725268e-05,0.007168948670244075
OR51F1,3.4349807108432735,8.446021549534814e-06,0.004874058269210716
SOX21,3.407348833886914,0.00028850958044480463,0.03995857689160544
SCN2A,3.387575666381396,1.9486040600652166e-06,0.002249013852658604
CALCA,3.3468142128170713,9.529385033117498e-05,0.022310472226950564
TNNT1,3.331874631679944,0.00010270922745163349,0.022431660673554166
OR51G1,3.3259587325256454,1.1030174843818795e-05,0.005875689291803474
TFF3,3.3254020841976164,3.45515731329475e-05,0.012376016066154903
NR0B2,3.202372109627615,0.00015823277722940064,0.027356425254001723
CA8,3.2017541997529366,2.0357848016788828e-07,0.0006041918464982684
OR51S1,3.1805478736093136,5.482945149001912e-05,0.01617843547737612
KIAA1324,3.165430684358915,6.276773477649243e-09,4.7497820670037294e-05
OR51A7,3.119682700002159,4.6514904705422315e-05,0.014641623412956797
OR51E2,3.10648302416083,0.00019296936207979665,0.031077042614013763
TSPEAR,3.1059848726357675,1.1782043609043338e-05,0.005970047706777447
OR51T1,3.066470590762215,0.00025410408102735513,0.03743980342796669
TMEM61,3.0595211282096226,0.0002794474701220216,0.03949334144071428
C1orf168,3.023842922583504,0.00018478636867932534,0.030442100946042407
RGS17,3.023096952413892,5.621381317928169e-06,0.003434829319998756
AGR2,3.0124475140627354,0.00012455786627428228,0.024339904461580304
ZMAT4,2.9445704373586468,9.948953963084391e-05,0.022310472226950564
SMOC2,2.934831016460762,1.2799945562721799e-05,0.006331401644417748
KIAA1211L,2.928939554192586,4.6126079646829383e-07,0.0007371302343560619
CADM2,2.906856775510819,8.139534360586334e-05,0.0207872634439746
PTPRH,2.9003305068537992,3.56127542302135e-05,0.012539914731062465
KRTAP12-1,2.8912358281972086,0.00018609611649325562,0.030442100946042407
HOXB6,2.8710082393111707,0.00012846851935720185,0.02448562834537494
DGKB,2.827576044411285,9.172569417832556e-05,0.022158154611101318
SDK2,2.8191491657947143,9.987359408454405e-05,0.022310472226950564
KRTAP10-10,2.7970453654534295,1.1564869688649633e-05,0.005970047706777447
KCNK10,2.7899356025806425,0.0001218122757802479,0.024101428850806194
PTPRN2,2.7787106685289733,5.330662512857219e-05,0.016049929522407063
RAB19,2.7505220075475116,7.961814149950213e-05,0.02067583612065196
SCN9A,2.7476454859322224,1.4416464988036926e-06,0.001761776824273336
KRTAP10-9,2.7441994132686327,4.123368760818762e-07,0.0007371302343560619
KRTAP10-12,2.7313201379574257,0.0001412434434800983,0.02527624269578723
KIAA0319,2.7136858816019642,1.8080926231011983e-05,0.007618840851235104
KRTAP12-4,2.699452246186567,0.00015933224817011834,0.027356425254001723
RNF183,2.686175042195047,5.070985000711436e-05,0.015723837819370163
LOC255167,2.6842102779820864,5.9959990431371e-05,0.017300955572385174
KRTAP10-2,2.6663448353600216,0.00025215531235023693,0.03743980342796669
HOXB5,2.6596697337395163,0.00022145362722140888,0.034079252633516806
LOC283070,2.6326757372737424,3.250359134291545e-07,0.0007371302343560619
FOXA1,2.631883534255997,7.525269547570192e-05,0.020378524003491102
GDF15,2.618239247445192,0.0003979299358689365,0.048917126731817494
MARCH4,2.617067338179462,0.0004068007355632272,0.04913537954259328
PBOV1,2.6092416971905186,6.012023080592164e-07,0.0008818572348786377
HABP2,2.604953796601862,0.00030926917760973376,0.04190073426206449
TMEM184A,2.569461832447206,0.00014207917684999649,0.02527624269578723
CNKSR3,2.5236247868140325,9.221374062467203e-06,0.005071069260858953
MIAT,2.5199814209965528,0.00038447924710148924,0.048917126731817494
CXXC4,2.5098431072433733,3.197978987427606e-05,0.011863930975680092
RAB17,2.4857193885190076,3.7428218280595525e-05,0.012959520579656202
NKX2-1,2.479577011759916,7.74923415776557e-05,0.020378524003491102
KRTAP10-6,2.4665184825328628,0.00028462540861450393,0.039685187006485365
BAMBI,2.448364004874379,4.5835691341658267e-07,0.0007371302343560619
CAMK1D,2.3869616173360058,1.0112803337713803e-06,0.0013130843083812764
NMUR2,2.345366991168369,0.00039137096685400185,0.048917126731817494
TMEM63C,2.3421962563119227,3.454641733720797e-05,0.012376016066154903
LFNG,2.3244224143068966,3.9589215228019424e-05,0.013106110098508393
OVOL2,2.3241407891537165,0.00031485927387474554,0.04220129944998605
SYT1,2.30700379325525,0.0002534348373078418,0.03743980342796669
PMCHL2,2.290344718911596,1.7074336137828973e-05,0.0075472198566680195
CERS4,2.269975848126306,0.0003570467758962601,0.047246157765890466
SLITRK3,2.248039396506107,0.00036759400004821496,0.047729783443760415
FEZF1-AS1,2.2280419197982604,0.00013885429852511318,0.02527624269578723
PRRG2,2.151274168432199,0.00015886121301297772,0.027356425254001723
SPIRE2,2.1197545347326576,2.5957290831055194e-05,0.010370436865676378
SNCAIP,2.1175893803370025,0.00010740641178512998,0.022431660673554166
ICA1,2.115329677782242,9.084853567857734e-05,0.022158154611101318
KIAA1609,2.0963340609778367,3.0884413076746566e-06,0.0023958871501552933
NR2F1,2.0186266578234964,0.00021324113667659205,0.03356124707921363
PMCHL1,2.015792246075961,0.0002593411334421208,0.03767700732349692
FAM3B,2.0032103889987907,6.473621897310767e-05,0.018174256069815025
