probe_id,gene,log2fc,pvalue,qvalue
ILMN_1714418,FAM101B,1.6408408255639024,6.293028533525829e-12,3.091476575742279e-10
ILMN_1730039,IGSF21,1.584886570722123,2.9963958192113295e-13,2.1108531103797664e-11
ILMN_2401352,UHRF1,1.5518991885860602,4.030765595243777e-20,1.6446083457149506e-17
ILMN_1671843,PSRC1,1.5309654709366578,1.0656591600141848e-22,9.739859011065721e-20
ILMN_1723235,DUS3L,1.4834067312492216,3.37609244554361e-14,3.0792806427885406e-12
ILMN_1670147,PHC2,1.475145043019836,5.686584555094175e-14,4.856244025436093e-12
ILMN_2115633,CD320,1.4479663943352135,7.93775209667323e-10,2.155151047541308e-08
ILMN_1780057,RENBP,1.4270608758336882,3.562175342901967e-11,1.4374453990169105e-09
ILMN_1812297,CYP26B1,1.402309345773186,1.0853647663059456e-07,1.6486432647243932e-06
ILMN_1696162,MME,1.3945066820749892,4.6928247714582145e-07,5.895950584326874e-06
ILMN_1662556,GALNT10,1.3829516626101475,2.3059825096117644e-17,4.770623111610197e-15
ILMN_1665916,HYAL2,1.3421152613137046,2.4416241862539094e-11,1.02467991027973e-09
ILMN_1659339,ELP4,1.3366331969940521,5.837082300496799e-20,2.286346223222593e-17
ILMN_1692225,DOK3,1.3365493051351258,5.777283617533567e-12,2.862044870696182e-10
ILMN_1784178,IFT172,1.3344113112577531,2.4412574049694423e-13,1.7577651663183164e-11
ILMN_1662144,CPT1B,1.3306125959998951,6.371979653214276e-13,3.999778766505893e-11
ILMN_2280135,P4HA2,1.327836637725298,4.066006007356897e-10,1.1968643134080518e-08
ILMN_3234888,NCRNA00181,1.3246294524412487,6.48777225685023e-08,1.0512481279067248e-06
ILMN_1786895,KATNAL1,1.3207520889646114,5.363973600218158e-19,1.5916914389253416e-16
ILMN_1697559,G6PD,1.3204367267217076,3.404906117474947e-10,1.0217277402727213e-08
ILMN_1660364,PSCD4,1.31883353685481,3.4494799780034134e-08,6.042657919726075e-07
ILMN_2358074,MAD1L1,1.284416727407903,8.819993254054362e-12,4.139056578663818e-10
ILMN_1757270,DBN1,1.2769536942318327,3.2584394842595455e-10,9.858205636363818e-09
ILMN_2296335,WHSC1,1.2583293995458629,1.3768727814286886e-15,1.9353297464129466e-13
ILMN_1653896,ATRIP,1.2286515907086226,3.7132382676178564e-14,3.325725627677127e-12
ILMN_1692169,NAT5,1.2152121179461055,4.215871524814582e-17,8.368220120572836e-15
ILMN_2339028,PKD1,1.2131691825032584,7.83549539854771e-12,3.724649649241684e-10
ILMN_2176063,FCGR1A,1.1921764790682294,1.823972188892167e-08,3.454727981501302e-07
ILMN_1792955,IRGQ,1.1908488249899971,6.180477905828481e-14,5.20609500700903e-12
ILMN_1676173,PARVB,1.1783456286006366,2.1613092691484003e-09,5.251677617847192e-08
ILMN_2281320,LAT,1.1772514282688675,2.508728450236378e-08,4.5718930324189873e-07
ILMN_1765017,COL6A2,1.1757627592801398,7.522263347452649e-11,2.755380677782001e-09
ILMN_3241169,C3orf75,1.1609699062798668,3.0034945710547107e-13,2.1108531103797664e-11
ILMN_2371700,UCHL5IP,1.1596787077166013,4.737532552718375e-19,1.449734310429247e-16
ILMN_1810922,PCNT,1.1595259195459624,2.778040155592232e-18,7.222166871755132e-16
ILMN_1755711,C17orf68,1.1576370456560667,3.151676800547831e-14,2.9207195384761404e-12
ILMN_1769458,SPIN2B,1.1565957493039,7.42446685489591e-18,1.7773901133029467e-15
ILMN_1700681,CD99L2,1.1482043453299724,1.2649092840295894e-13,9.77874737814138e-12
ILMN_1709630,CCDC107,1.1477256594333243,4.8643952309254506e-11,1.8802807723539074e-09
ILMN_1715584,SOCS5,1.1438677643814898,3.293565199530121e-13,2.2765897615669734e-11
ILMN_2283001,DSE,1.1423522623328655,3.402002490325644e-10,1.0217277402727213e-08
ILMN_1806508,B4GALT2,1.1401212761332298,7.327962049444897e-12,3.511803281020273e-10
ILMN_1745282,RAGE,1.1345762711651943,1.7126829985972541e-09,4.282328369784482e-08
ILMN_2205050,PRKX,1.1277898480584527,3.0164286985482576e-16,4.895780435207302e-14
ILMN_1723895,GTF3C5,1.1259058734776053,6.081343325565444e-22,3.7219088098986675e-19
ILMN_1742031,IFRD2,1.124669767909559,1.6888890823744792e-17,3.702574221859334e-15
ILMN_1679041,SLC3A2,1.1225173840652172,1.1042882151411068e-14,1.1572836710703284e-12
ILMN_1750674,SDSL,1.1218916995989572,8.369426626934764e-11,3.0242145881852714e-09
ILMN_1652171,CDKN2C,1.1176190716003225,1.6481271126923101e-06,1.7846306741453003e-05
ILMN_1750003,CD200R1,1.1169960346120833,1.1007606330529475e-08,2.2163841752704893e-07
ILMN_1712517,ZNF696,1.115855507270874,7.810231721126756e-12,3.718657654319947e-10
ILMN_2212354,WDR46,1.1068439510769892,1.6857780471871559e-25,4.952310169221708e-22
ILMN_2214955,CCDC127,1.0925100858405807,8.693057957792641e-10,2.3407512706331292e-08
ILMN_1718936,LST1,1.0914071932042182,2.198673412186157e-05,0.0001753874946252038
ILMN_2403555,DHX30,1.0707450019239566,9.245378502489051e-15,9.98534868630959e-13
ILMN_2125747,LOC606724,1.070161699481889,3.4014417417820893e-07,4.480903768983517e-06
ILMN_1694757,CTSL1,1.0658446863581705,8.771977806366431e-11,3.1464516729868944e-09
ILMN_1775428,ZKSCAN5,1.063578847034063,5.345835944491093e-10,1.5173393482252642e-08
ILMN_2302947,CSF1,1.06181641214424,2.3820058663292455e-13,1.7235513875653756e-11
ILMN_1746213,SNX20,1.0586276391089307,8.13183819853193e-07,9.57470985003096e-06
ILMN_1798620,PQLC1,1.0578151503040258,2.3416389787003896e-15,3.0304109373251694e-13
ILMN_3242416,WASH3P,1.0555559293582464,6.381799762946118e-07,7.724686099549572e-06
ILMN_1672553,SLC43A3,1.0485177721424295,1.0183861250476072e-09,2.6976671952681297e-08
ILMN_1673461,PHC2,1.0462973890411886,2.329720628798238e-12,1.2697625772208875e-10
ILMN_1798212,LLGL1,1.0421305226073532,1.784463570050688e-17,3.883124910916968e-15
ILMN_1678805,POMT2,1.039713762186648,1.6727847058298516e-22,1.4040398943761014e-19
ILMN_2293131,ARHGEF1,1.0389246385677504,6.94937448658768e-12,3.368841159942018e-10
ILMN_1675709,ARFGAP1,1.0379367142712903,8.917986325747625e-21,3.9694497619922425e-18
ILMN_1685982,PDGFA,1.0376661074114422,2.2373768121533025e-09,5.414120149145598e-08
ILMN_1745420,PHF19,1.0364918816442703,6.181508118214434e-15,7.065920777773751e-13
ILMN_1655525,FLCN,1.0342337991674784,1.6376693980535304e-16,2.8299890533305036e-14
ILMN_3308848,MIR648,1.0231278490106694,8.690663559865367e-09,1.79413649612203e-07
ILMN_1712257,PPP2R3B,1.0214463618836573,6.596732198447693e-13,4.105766987156734e-11
ILMN_1811719,MYO7A,1.0208530749830977,2.876167713165453e-07,3.872778288794549e-06
ILMN_1674646,IRF7,1.0183569519891256,6.41994306799776e-05,0.000443552839860231
ILMN_1692464,FLJ20699,1.0129046359902274,7.83534497980517e-10,2.13128638399756e-08
ILMN_1737728,CDCA3,1.0124167037567133,2.3017337462777384e-12,1.2591812339739501e-10
ILMN_1694486,TCIRG1,1.0123079558239043,1.045025681429691e-08,2.124548058364016e-07
ILMN_2381697,P4HA2,1.012290752464434,1.5099442058423032e-11,6.710685466721534e-10
ILMN_2185866,PCDHB17,1.0122878168824405,1.6846485048852496e-07,2.4243094668928253e-06
ILMN_1750711,MYO19,1.0114843344035407,1.6946202337097085e-11,7.405149453128019e-10
ILMN_1717780,PLEC1,1.0106549279577868,7.171292908453182e-09,1.5232904683414976e-07
ILMN_1731991,SCYL1,1.009381480372367,5.971774532767817e-15,6.906803954689769e-13
ILMN_1787509,PRIC285,1.008562522523369,3.044204679282403e-08,5.413414095840142e-07
ILMN_1680154,MAP1B,1.0062015873042132,2.5156232177668236e-09,6.013137776105449e-08
ILMN_2382431,ANKRD36,1.0058944222851256,6.365561038586632e-10,1.777576869111782e-08
ILMN_1705301,TEAD4,1.0007251332646376,2.795980825229092e-14,2.6326130994472767e-12
