cancer,drug,target,tcga_evidence,tcga_score,geo_evidence,geo_score,kegg_evidence,kegg_score,ext_evidence,ext_score,phase3,phase3_score,total,tier
NEPC,Venetoclax,BCL2 (apoptosis),"RB1 loss 85–92% in NEPC series (refs 13,14)",3,"BCL2 TPM=34.3 + RB1 TPM=2.7 (PM154 baseline, GSE216053); PARP1 TPM=267 also high (synthetic-lethality combo rationale)",3,"Apoptosis/BCL2 OR=1.76, p=0.12 (trend, ns)",0,Beltran 2016 NEPC; Zellweger 2005 Bcl-2 11% CRPC,1,Pending; NEPC variant trials limited,0,7,Strong
NEPC,Alisertib‡,AURKA (mitotic kinase),AURKA reported elevated in NEPC series,2,CXCR7 KD → AURKA log2FC=-1.17 (trend p=0.10); MYCN TPM=92 PM154; Cell Cycle KEGG OR=2.86 (GSE199274),2,"Cell Cycle OR=2.86, p=0.0002 (MDVr cells)",2,Gritsina CXCR7/AURKA 2023; N-myc/Aurora-A axis (Beltran),1,Beltran Phase II NEPC 2019 (signal of response),0,7,Strong
NEPC,Tazemetostat,EZH2 (polycomb),EZH2 reported overexpressed in NEPC series,2,EZH2 TPM=39.7 (PM154); DNMT3A KO reduces EZH2 (log2FC=-0.61),2,N/A — EZH2 not in pre-specified KEGG pathways tested,0,Beltran NEPC reprogramming; Aggarwal 2018,1,None for NEPC; Phase II ongoing CRPC,0,5,Moderate
NEPC,Decitabine,DNMT1/3A (methylation),DNMT elevated in NEPC,2,"DNMT1 TPM=123.6 (very high); DNMT1 KO restores RB1 (log2FC=+0.70, GSE216052)",3,N/A — DNA methylation not in KEGG panel,0,Beltran NEPC DNMT involvement,1,None for NEPC,0,6,Moderate
NEPC,Cabazitaxel+carboplatin,TP53 (platinum-sensitive),"Near-universal TP53 alteration in NEPC (refs 13,14)",3,TP53 TPM=43.2 (PM154; high baseline); no specific DE,0,"p53 Signaling OR=2.28, p=0.021 (MDVr)",1,Aparicio 2013 platinum sensitivity NEPC,1,Off-label standard for variant prostate cancer,1,6,Moderate
NEPC,Olaparib (NEW),PARP1/2 (synthetic lethality),RB1-loss biology; BRCA/HRR co-occurrence in advanced PCa ~10–20%,2,PARP1 TPM=267 + PARP2 TPM=45 (PM154 baseline; both highly expressed),2,"Homologous Recombination OR=1.62, p=0.16 (trend, ns)",0,PROfound trial in BRCA/ATM CRPC; synthetic lethality literature,1,PROfound (olaparib mCRPC HRR+); none for NEPC specifically,1,6,Moderate
MIBC,Alisertib‡,AURKA/AURKB,AURKA mRNA elevated TCGA-BLCA; high-level amp 0.2%,1,"AURKB log2FC=+4.08, AURKA +2.58 (p<0.001); TTK, PLK4, PBK, CDK1, CHEK1 all upregulated",3,"Cell Cycle panel OR=1.63, p=0.028",1,"Burgess MIBC AURKA-OS HR=6.10, p<0.001",1,None for AURKA in MIBC,0,6,Moderate
MIBC,Talazoparib,PARP1/2 (HR-deficiency biomarker: ERCC2/ATM),"ERCC2 9%, ATM 13% mutations (TCGA-BLCA)",2,"ATR log2FC=+0.55, p=0.038; PRKDC +1.38, p=0.019",1,HR pathway not significantly enriched,0,PARP literature in HR-deficient tumors,1,BAYOU durvalumab+olaparib mixed; mUC trials ongoing,0,4,Moderate
MIBC,Alpelisib,PIK3CA (α-isoform),PIK3CA 22% activating mutations (TCGA-BLCA),2,ERBB2/ERBB3 upregulated (log2FC=+2.09/+1.87) suggesting RTK-PI3K signaling,1,PI3K-AKT panel-restricted: no significant enrichment,0,PIK3CA biology established (SOLAR-1 breast),1,None for MIBC,0,4,Moderate
MIBC,Erdafitinib,FGFR2/3,FGFR3 19% alterations (TCGA-BLCA),2,"FGFR3 log2FC=+1.63, p=0.016 (significant)",2,N/A — direct target measurement,0,BLC2001 (Loriot 2019),1,THOR phase III positive (Loriot 2023),1,6,Moderate
MIBC,Enfortumab Vedotin,NECTIN4 (ADC),Near-universal NECTIN4 expression in urothelial (>80% IHC),3,Near-universal NECTIN4 expression (TCGA/published),3,N/A,0,"EV-201, EV-103 cohort K, EV-302",1,KEYNOTE-905/EV-303 + EV-302 both positive,1,8,Strong
MIBC,Pembrolizumab,PD-1 / TMB-H,TMB-H 26% in BLCA (≥10 mut/Mb),2,Immune-checkpoint biology; gene-level signal limited in panel,1,N/A,0,"KEYNOTE-045, -057, -361 (multiple)",1,KEYNOTE-905/EV-303 + KEYNOTE-045 + EV-302,1,5,Moderate
MIBC,Palbociclib,CDK4/6,CDKN2A 32% deep deletion (releases CDK4/6 from inhibition),2,"CDK1 +3.59, CDK2 +0.92 (proliferative); CDK4/6 not directly upregulated",1,"Cell Cycle OR=1.63, p=0.028 (panel-restricted)",1,CDK4/6i biology in CDKN2A-loss settings,1,None for MIBC,0,5,Moderate
ccRCC/sRCC,Pazopanib,VEGFR/PDGFR,VHL 34% mut/CNA (≥50% with hypermethylation; ref 10),2,"VEGFA rank 30/57,353 (top 0.05%); KDR rank 412 (top 0.72%)",3,VEGF/HIF constitutively active across ccRCC stages,1,"COMPARZ, multiple RCC trials",1,COMPARZ (Motzer); standard of care for adv RCC,1,8,Strong
ccRCC/sRCC,Belzutifan,HIF2α / EPAS1,VHL 34% mut/CNA (≥50% with hypermethylation),2,"EPAS1 rank 75/57,353 (top 0.13%); upregulated in HLRCC p=0.003",3,HIF-1 pathway annotation,1,LITESPARK-001 (Jonasch VHL),1,LITESPARK-005 positive (Choueiri 2024),1,8,Strong
ccRCC,Abemaciclib,CDK4/6,CDKN2A deep del 3% in KIRC (rare),0,CDK4 rank top 8.2% (detectable); not differentially upregulated,1,Not enriched,0,Limited RCC-specific data,0,None for RCC,0,1,Exploratory
