legacy_symbol,current_symbol,source
(P)RR,ATP6AP2,alias_symbol
0808Y08Y,NFYC-AS1,alias_symbol
1-8D,IFITM2,alias_symbol
1-8U,IFITM3,alias_symbol
1-CYS,PRDX6,alias_symbol
1/2-SBSRNA4,SEC24B-AS1,alias_symbol
10-FTHF,ALDH1L1,alias_symbol
101F10.1,KNOP1,alias_symbol
101F6,CYB561D2,alias_symbol
103AS,KIR2DL4,alias_symbol
10C,ARHGAP9,alias_symbol
11B6,MAGED2,alias_symbol
12-HETER,GPR31,alias_symbol
123F2,RASSF1,alias_symbol
12CC4,FOXP1,alias_symbol
12R-LOX,ALOX12B,alias_symbol
12S,MT-RNR1,alias_symbol
12S-LOX,ALOX12,alias_symbol
133K02,FAM114A2,alias_symbol
13CDNA73,FRY,alias_symbol
14-3-3,YWHAQ,alias_symbol
14-3-3-ZETA,YWHAZ,alias_symbol
14-3-3GAMMA,YWHAG,alias_symbol
14-3-3Γ,YWHAG,alias_symbol
14.1,IGLL1,alias_symbol
14Q(0),SNORD112,alias_symbol
14Q(I-1),SNORD113-1,alias_symbol
14Q(I-2),SNORD113-2,alias_symbol
14Q(I-3),SNORD113-3,alias_symbol
14Q(I-4),SNORD113-4,alias_symbol
14Q(I-5),SNORD113-5,alias_symbol
14Q(I-6),SNORD113-6,alias_symbol
14Q(I-7),SNORD113-7,alias_symbol
14Q(I-8),SNORD113-8,alias_symbol
14Q(I-9),SNORD113-9,alias_symbol
14Q(II-1),SNORD114-1,alias_symbol
14Q(II-10),SNORD114-10,alias_symbol
14Q(II-11),SNORD114-11,alias_symbol
14Q(II-12),SNORD114-12,alias_symbol
14Q(II-13),SNORD114-13,alias_symbol
14Q(II-14),SNORD114-14,alias_symbol
14Q(II-15),SNORD114-15,alias_symbol
14Q(II-16),SNORD114-16,alias_symbol
14Q(II-17),SNORD114-17,alias_symbol
14Q(II-18),SNORD114-18,alias_symbol
14Q(II-19),SNORD114-19,alias_symbol
14Q(II-2),SNORD114-2,alias_symbol
14Q(II-20),SNORD114-20,alias_symbol
14Q(II-21),SNORD114-21,alias_symbol
14Q(II-22),SNORD114-22,alias_symbol
14Q(II-23),SNORD114-23,alias_symbol
14Q(II-24),SNORD114-24,alias_symbol
14Q(II-25),SNORD114-25,alias_symbol
14Q(II-26),SNORD114-26,alias_symbol
14Q(II-27),SNORD114-27,alias_symbol
14Q(II-28),SNORD114-28,alias_symbol
14Q(II-29),SNORD114-29,alias_symbol
14Q(II-3),SNORD114-3,alias_symbol
14Q(II-30),SNORD114-30,alias_symbol
14Q(II-31),SNORD114-31,alias_symbol
14Q(II-4),SNORD114-4,alias_symbol
14Q(II-5),SNORD114-5,alias_symbol
14Q(II-6),SNORD114-6,alias_symbol
14Q(II-7),SNORD114-7,alias_symbol
14Q(II-8),SNORD114-8,alias_symbol
14Q(II-9),SNORD114-9,alias_symbol
15-LOX-1,ALOX15,alias_symbol
15-LOX-2,ALOX15B,alias_symbol
15.212,KIR2DL4,alias_symbol
15.5K,SNU13,alias_symbol
156DAG,DAG1,alias_symbol
15E1.2,GATC,alias_symbol
16.1,IGLL3P,alias_symbol
16.2,IGLL2P,alias_symbol
16.3A5,CD59,alias_symbol
16A,ATP6AP1,alias_symbol
16E1BP,TRIP13,alias_symbol
16S,MT-RNR2,alias_symbol
17-1A,EPCAM,alias_symbol
17-BETA-HSD11,HSD17B11,alias_symbol
17-BETA-HSDXI,HSD17B11,alias_symbol
1700010H15RIK,DNAL1,alias_symbol
1700024P04RIK,H2BL1P,alias_symbol
170A,SKIC2,alias_symbol
17B-HSD10,HSD17B10,alias_symbol
182-FIP,NUFIP2,alias_symbol
183ACTI,KIR2DS2,alias_symbol
18A2,S100A4,alias_symbol
19A,SLAMF7,alias_symbol
1A1-3B,NBR1,alias_symbol
1A6/DRIM,UTP20,alias_symbol
1C7,NCR3,alias_symbol
1D,LMOD1,alias_symbol
1R20,RGS1,alias_symbol
2'-PDE,PDE12,alias_symbol
2-19,FAM3A,alias_symbol
2-21,FAM3B,alias_symbol
2-COP,COPG2,alias_symbol
2-HPCL,HACL1,alias_symbol
209L8,HACL2,alias_symbol
20D7-FC4,FBXO46,alias_symbol
21-GARP,SH3BGR,alias_symbol
225,EGR1,alias_symbol
2310005P21RIK,C1QTNF3,alias_symbol
2310047H23RIK,TXNDC15,alias_symbol
239AB,MPPED1,alias_symbol
239FB,MPPED2,alias_symbol
24B2,STAC2,alias_symbol
24P3,LCN2,alias_symbol
2610509L04RIK,EIF4ENIF1,alias_symbol
26RFA,QRFP,alias_symbol
2700066J21RIK,UTP14C,alias_symbol
277P12.9,LINC02598,alias_symbol
28H,HMGN2P11,alias_symbol
2A9,S100A6,alias_symbol
2B28,UBXN1,alias_symbol
2B4,CD244,alias_symbol
2C18,AP1AR,alias_symbol
2C4D,MOB4,alias_symbol
2E4,KPTN,alias_symbol
2F1,KLRG1,alias_symbol
2G7,LINC01150,alias_symbol
2H9,HNRNPH3,alias_symbol
2HOR0202,SAP18,alias_symbol
2OST,UST,alias_symbol
2P1,NDUFAF3,alias_symbol
2PP2A,SET,alias_symbol
3'AHIF-1A,HIF1A-AS2,alias_symbol
3'HEXO,ERI1,alias_symbol
3'OY11.1,ZNF280A,alias_symbol
3-10C,CXCL8,alias_symbol
3-ALPHA-HSD,AKR1C4,alias_symbol
3-HAO,HAAO,alias_symbol
3-OST-5,HS3ST5,alias_symbol
3-PAP,MTMR12,alias_symbol
3.8-1.2,HCG26P1,alias_symbol
3.8-1.3,HCG26P2,alias_symbol
3.8-1.4,HCG26P3,alias_symbol
3.8-1.5,HCG26P4,alias_symbol
30K,CAPNS1,alias_symbol
30ST3A1,HS3ST3A1,alias_symbol
30ST3B1,HS3ST3B1,alias_symbol
323/A3,EPCAM,alias_symbol
354J5,ZPR1P1,alias_symbol
3635,PDE12,alias_symbol
37LRP,RPSA,alias_symbol
384D8-2,NCAPH2,alias_symbol
39K2,STAU2,alias_symbol
3ALPHA-HSD,DHRS9,alias_symbol
3D3,MTDH,alias_symbol
3G2,RBM6,alias_symbol
3H11AG,CEP290,alias_symbol
3M3,CCDC8,alias_symbol
3OST1,HS3ST1,alias_symbol
3OST2,HS3ST2,alias_symbol
3OST3A1,HS3ST3A1,alias_symbol
3OST3B1,HS3ST3B1,alias_symbol
3OST4,HS3ST4,alias_symbol
3PAP,MTMR12,alias_symbol
3PK,MAPKAPK3,alias_symbol
4-1BB,TNFRSF9,alias_symbol
4-1BB-L,TNFSF9,alias_symbol
4-1BBL,TNFSF9,alias_symbol
4-1BBLRR,LRR1,alias_symbol
4-HPPD,HPD,alias_symbol
4-HPPD-L,HPDL,alias_symbol
4.1-G,EPB41L2,alias_symbol
4.1B,EPB41L3,alias_symbol
4.1G,EPB41L2,alias_symbol
4.1N,EPB41L1,alias_symbol
4.1R,EPB41,alias_symbol
42A,S100A4,alias_symbol
42C,S100A10,alias_symbol
