title,sample,tissue_type,tissue_type_details,group
Linehan-8,GSM4760278,Metastasis,HLRCC Metastasis,Tumor
Linehan-9,GSM4760279,Adjacent Normal,Renal Cortex,Normal
Linehan-7,GSM4760277,Primary Tumor,HLRCC Tumor,Tumor
Linehan-11,GSM4760256,Metastasis,HLRCC Metastasis,Tumor
Linehan-15,GSM4760260,Metastasis,HLRCC Metastasis,Tumor
Linehan-25,GSM4760269,Metastasis,HLRCC Metastasis,Tumor
Linehan-26,GSM4760270,Primary Tumor,HLRCC Tumor,Tumor
Linehan-19,GSM4760262,Metastasis,HLRCC Metastasis,Tumor
Linehan-20,GSM4760264,Metastasis,HLRCC Metastasis,Tumor
Linehan-10,GSM4760255,Metastasis,HLRCC Metastasis,Tumor
Linehan-24,GSM4760268,Metastasis,HLRCC Metastasis,Tumor
Linehan-14,GSM4760259,Adjacent Normal,Renal Cortex,Normal
Linehan-13,GSM4760258,Primary Tumor,HLRCC Tumor,Tumor
Linehan-12,GSM4760257,Metastasis,HLRCC Metastasis,Tumor
Linehan-6,GSM4760276,Adjacent Normal,Renal Cortex,Normal
Linehan-5,GSM4760275,Primary Tumor,HLRCC Tumor,Tumor
Linehan-4,GSM4760272,Adjacent Normal,Renal Cortex,Normal
Linehan-3,GSM4760271,Metastasis,HLRCC Metastasis,Tumor
Linehan-41,GSM4760273,Metastasis,HLRCC Metastasis,Tumor
Linehan-42,GSM4760274,Metastasis,HLRCC Metastasis,Tumor
Linehan-1,GSM4760254,Adjacent Normal,Renal Cortex,Normal
Linehan-2,GSM4760263,Primary Tumor,HLRCC Tumor,Tumor
Linehan-17,GSM4760261,Metastasis,HLRCC Metastasis,Tumor
Linehan-21,GSM4760265,Metastasis,HLRCC Metastasis,Tumor
Linehan-22,GSM4760266,Metastasis,HLRCC Metastasis,Tumor
Linehan-23,GSM4760267,Metastasis,HLRCC Metastasis,Tumor
