sample,title,cell_line,treatment_infection,treatment,column
GSM5968577,LNCaP_MDVr_P23_LKO_1 [mr99],LNCaP,LKO,LKO,mr99
GSM5968578,LNCaP_MDVr_P23_LKO_2 [mr100],LNCaP,LKO,LKO,mr100
GSM5968579,LNCaP_MDVr_P23_LKO_3 [mr101],LNCaP,LKO,LKO,mr101
GSM5968580,LNCaP_MDVr_P23_shCXCR7_1 [mr102],LNCaP,shCXCR7,shCXCR7,mr102
GSM5968581,LNCaP_MDVr_P23_shCXCR7_2 [mr103],LNCaP,shCXCR7,shCXCR7,mr103
GSM5968582,LNCaP_MDVr_P23_shCXCR7_3 [mr104],LNCaP,shCXCR7,shCXCR7,mr104
GSM5968583,C4-2B_MDVr_P15_LKO_1 [mr105],C4-2B,LKO,LKO,mr105
GSM5968584,C4-2B_MDVr_P15_LKO_2 [mr106],C4-2B,LKO,LKO,mr106
GSM5968585,C4-2B_MDVr_P15_LKO_3 [mr107],C4-2B,LKO,LKO,mr107
GSM5968586,C4-2B_MDVr_P15_shCXCR7_1 [mr108],C4-2B,shCXCR7,shCXCR7,mr108
GSM5968587,C4-2B_MDVr_P15_shCXCR7_2 [mr109],C4-2B,shCXCR7,shCXCR7,mr109
GSM5968588,C4-2B_MDVr_P15_shCXCR7_3 [mr110],C4-2B,shCXCR7,shCXCR7,mr110
