index,sample,description,batch,subtype
SCBC1,GSM8326379,BatchA,BatchA,NEUROD1
SCBC2,GSM8326380,BatchA,BatchA,POU2F3
SCBC3,GSM8326381,BatchA,BatchA,YAP1
SCBC4,GSM8326382,BatchA,BatchA,NEUROD1
SCBC5,GSM8326383,BatchA,BatchA,ASCL1
SCBC6,GSM8326384,BatchA,BatchA,ASCL1
SCBC7,GSM8326385,BatchA,BatchA,NEUROD1
SCBC8,GSM8326386,BatchA,BatchA,YAP1
SCBC9,GSM8326387,BatchA,BatchA,YAP1
SCBC10,GSM8326388,BatchA,BatchA,ASCL1
SCBC11,GSM8326389,BatchA,BatchA,ASCL1
SCBC12,GSM8326390,BatchA,BatchA,YAP1
SCBC13,GSM8326391,BatchA,BatchA,ASCL1
SCBC14,GSM8326392,BatchA,BatchA,ASCL1
SCBC15,GSM8326393,BatchA,BatchA,POU2F3
SCBC16,GSM8326394,BatchA,BatchA,YAP1
SCBC17,GSM8326395,BatchA,BatchA,NEUROD1
SCBC18,GSM8326396,BatchA,BatchA,NEUROD1
SCBC19,GSM8326397,BatchA,BatchA,NEUROD1
SCBC20,GSM8326398,BatchA,BatchA,YAP1
SCBC21,GSM8326399,BatchA,BatchA,YAP1
SCBC22,GSM8326400,BatchA,BatchA,ASCL1
SCBC23,GSM8326401,BatchA,BatchA,ASCL1
SCBC24,GSM8326402,BatchA,BatchA,POU2F3
SCBC25,GSM8326403,BatchB,BatchB,ASCL1
SCBC26,GSM8326404,BatchB,BatchB,POU2F3
SCBC27,GSM8326405,BatchB,BatchB,NEUROD1
SCBC28,GSM8326406,BatchB,BatchB,ASCL1
SCBC29,GSM8326407,BatchB,BatchB,NEUROD1
SCBC30,GSM8326408,BatchB,BatchB,POU2F3
SCBC31,GSM8326409,BatchC,BatchC,ASCL1
SCBC32,GSM8326410,BatchC,BatchC,ASCL1
SCBC33,GSM8326411,BatchC,BatchC,NEUROD1
SCBC34,GSM8326412,BatchC,BatchC,ASCL1
SCBC35,GSM8326413,BatchC,BatchC,ASCL1
SCBC36,GSM8326414,BatchC,BatchC,POU2F3
SCBC37,GSM8326415,BatchC,BatchC,POU2F3
SCBC38,GSM8326416,BatchC,BatchC,ASCL1
SCBC39,GSM8326417,BatchC,BatchC,ASCL1
SCBC40,GSM8326418,BatchC,BatchC,ASCL1
SCBC41,GSM8326419,BatchC,BatchC,YAP1
SCBC42,GSM8326420,BatchC,BatchC,ASCL1
SCBC43,GSM8326421,BatchC,BatchC,NEUROD1
SCBC44,GSM8326422,BatchC,BatchC,ASCL1
