sample,title,tissue,source,description,group,chip
GSM3666643,UC01,Urolthelial carcinoma (UC),Urolthelial carcinoma (UC),X9287078021_K,UC,9287078021
GSM3666644,UC02,Urolthelial carcinoma (UC),Urolthelial carcinoma (UC),X8381670042_J,UC,8381670042
GSM3666645,UC03,Urolthelial carcinoma (UC),Urolthelial carcinoma (UC),X9287078069_C,UC,9287078069
GSM3666646,UC04,Urolthelial carcinoma (UC),Urolthelial carcinoma (UC),X9464921105_D,UC,9464921105
GSM3666647,UC05,Urolthelial carcinoma (UC),Urolthelial carcinoma (UC),X9464921093_F,UC,9464921093
GSM3666648,UC06,Urolthelial carcinoma (UC),Urolthelial carcinoma (UC),X9464921101_F,UC,9464921101
GSM3666649,UC07,Urolthelial carcinoma (UC),Urolthelial carcinoma (UC),X9287078069_B,UC,9287078069
GSM3666650,UC08,Urolthelial carcinoma (UC),Urolthelial carcinoma (UC),X9287078002_K,UC,9287078002
GSM3666651,UC09,Urolthelial carcinoma (UC),Urolthelial carcinoma (UC),X9287078087_K,UC,9287078087
GSM3666652,UC10,Urolthelial carcinoma (UC),Urolthelial carcinoma (UC),X9464921105_B,UC,9464921105
GSM3666653,UC11,Urolthelial carcinoma (UC),Urolthelial carcinoma (UC),X8381670042_B,UC,8381670042
GSM3666654,UC12,Urolthelial carcinoma (UC),Urolthelial carcinoma (UC),X9287078069_L,UC,9287078069
GSM3666655,UC13,Urolthelial carcinoma (UC),Urolthelial carcinoma (UC),X9287078074_H,UC,9287078074
GSM3666656,UC14,Urolthelial carcinoma (UC),Urolthelial carcinoma (UC),X9464921093_G,UC,9464921093
GSM3666657,UC15,Urolthelial carcinoma (UC),Urolthelial carcinoma (UC),X9464921093_K,UC,9464921093
GSM3666658,UC16,Urolthelial carcinoma (UC),Urolthelial carcinoma (UC),X9464921100_C,UC,9464921100
GSM3666659,UC17,Urolthelial carcinoma (UC),Urolthelial carcinoma (UC),X9464921101_K,UC,9464921101
GSM3666660,UC18,Urolthelial carcinoma (UC),Urolthelial carcinoma (UC),X8381670042_L,UC,8381670042
GSM3666661,UC19,Urolthelial carcinoma (UC),Urolthelial carcinoma (UC),X9287078102_F,UC,9287078102
GSM3666662,UC20,Urolthelial carcinoma (UC),Urolthelial carcinoma (UC),X9287078074_J,UC,9287078074
GSM3666663,UC21,Urolthelial carcinoma (UC),Urolthelial carcinoma (UC),X9287078096_F,UC,9287078096
GSM3666664,UC22,Urolthelial carcinoma (UC),Urolthelial carcinoma (UC),X9287078102_J,UC,9287078102
GSM3666665,UC23,Urolthelial carcinoma (UC),Urolthelial carcinoma (UC),X9464921101_E,UC,9464921101
GSM3666666,UC24,Urolthelial carcinoma (UC),Urolthelial carcinoma (UC),X9464921101_I,UC,9464921101
GSM3666667,UC25,Urolthelial carcinoma (UC),Urolthelial carcinoma (UC),X9287078069_J,UC,9287078069
GSM3666668,UC26,Urolthelial carcinoma (UC),Urolthelial carcinoma (UC),X9287078069_A,UC,9287078069
GSM3666669,UC27,Urolthelial carcinoma (UC),Urolthelial carcinoma (UC),X9287078094_H,UC,9287078094
GSM3666670,UC28,Urolthelial carcinoma (UC),Urolthelial carcinoma (UC),X9287078096_H,UC,9287078096
GSM3666671,UC29,Urolthelial carcinoma (UC),Urolthelial carcinoma (UC),X9287078102_A,UC,9287078102
GSM3666672,UC30,Urolthelial carcinoma (UC),Urolthelial carcinoma (UC),X9287078002_F,UC,9287078002
GSM3666673,UC31,Urolthelial carcinoma (UC),Urolthelial carcinoma (UC),X9287078074_A,UC,9287078074
GSM3666674,UC32,Urolthelial carcinoma (UC),Urolthelial carcinoma (UC),X9464921106_J,UC,9464921106
GSM3666675,UC33,Urolthelial carcinoma (UC),Urolthelial carcinoma (UC),X9464921100_B,UC,9464921100
GSM3666676,UC34,Urolthelial carcinoma (UC),Urolthelial carcinoma (UC),X9464921106_B,UC,9464921106
GSM3666677,UC35,Urolthelial carcinoma (UC),Urolthelial carcinoma (UC),X9287078087_D,UC,9287078087
GSM3666678,UC36,Urolthelial carcinoma (UC),Urolthelial carcinoma (UC),X9287078002_C,UC,9287078002
GSM3666679,UC37,Urolthelial carcinoma (UC),Urolthelial carcinoma (UC),X9287078094_E,UC,9287078094
GSM3666680,UC38,Urolthelial carcinoma (UC),Urolthelial carcinoma (UC),X9287078069_K,UC,9287078069
GSM3666681,UC39,Urolthelial carcinoma (UC),Urolthelial carcinoma (UC),X9287078087_J,UC,9287078087
GSM3666682,UC40,Urolthelial carcinoma (UC),Urolthelial carcinoma (UC),X9464921101_G,UC,9464921101
GSM3666683,UC41,Urolthelial carcinoma (UC),Urolthelial carcinoma (UC),X9464921106_G,UC,9464921106
GSM3666684,UC42,Urolthelial carcinoma (UC),Urolthelial carcinoma (UC),X8381670051_F,UC,8381670051
GSM3666685,UC43,Urolthelial carcinoma (UC),Urolthelial carcinoma (UC),X9287078074_G,UC,9287078074
GSM3666686,UC44,Urolthelial carcinoma (UC),Urolthelial carcinoma (UC),X9464921100_F,UC,9464921100
GSM3666687,UC45,Urolthelial carcinoma (UC),Urolthelial carcinoma (UC),X9464921101_A,UC,9464921101
GSM3666688,UC46,Urolthelial carcinoma (UC),Urolthelial carcinoma (UC),X9287078069_D,UC,9287078069
GSM3666689,UC47,Urolthelial carcinoma (UC),Urolthelial carcinoma (UC),X9287078074_F,UC,9287078074
GSM3666690,UC48,Urolthelial carcinoma (UC),Urolthelial carcinoma (UC),X9287078021_G,UC,9287078021
GSM3666691,UC49,Urolthelial carcinoma (UC),Urolthelial carcinoma (UC),X9287078021_J,UC,9287078021
GSM3666692,UC50,Urolthelial carcinoma (UC),Urolthelial carcinoma (UC),X9287078002_L,UC,9287078002
GSM3666693,UC51,Urolthelial carcinoma (UC),Urolthelial carcinoma (UC),X9287078021_C,UC,9287078021
GSM3666694,UC52,Urolthelial carcinoma (UC),Urolthelial carcinoma (UC),X9287078069_H,UC,9287078069
GSM3666695,UC53,Urolthelial carcinoma (UC),Urolthelial carcinoma (UC),X9464921105_L,UC,9464921105
GSM3666696,UC54,Urolthelial carcinoma (UC),Urolthelial carcinoma (UC),X9464921106_I,UC,9464921106
GSM3666697,UC55,Urolthelial carcinoma (UC),Urolthelial carcinoma (UC),X9464921093_B,UC,9464921093
GSM3666698,UC56,Urolthelial carcinoma (UC),Urolthelial carcinoma (UC),X9464921106_A,UC,9464921106
GSM3666699,UC57,Urolthelial carcinoma (UC),Urolthelial carcinoma (UC),X9287078021_L,UC,9287078021
GSM3666700,UC58,Urolthelial carcinoma (UC),Urolthelial carcinoma (UC),X9287078102_E,UC,9287078102
GSM3666701,UC59,Urolthelial carcinoma (UC),Urolthelial carcinoma (UC),X9287078087_G,UC,9287078087
GSM3666702,UC60,Urolthelial carcinoma (UC),Urolthelial carcinoma (UC),X9287078087_I,UC,9287078087
GSM3666703,UC61,Urolthelial carcinoma (UC),Urolthelial carcinoma (UC),X8381670042_D,UC,8381670042
GSM3666704,UC62,Urolthelial carcinoma (UC),Urolthelial carcinoma (UC),X9287078096_E,UC,9287078096
GSM3666705,UC63,Urolthelial carcinoma (UC),Urolthelial carcinoma (UC),X9287078074_C,UC,9287078074
GSM3666706,UC64,Urolthelial carcinoma (UC),Urolthelial carcinoma (UC),X9287078094_L,UC,9287078094
GSM3666707,UC65,Urolthelial carcinoma (UC),Urolthelial carcinoma (UC),X9287078021_I,UC,9287078021
GSM3666708,UC66,Urolthelial carcinoma (UC),Urolthelial carcinoma (UC),X9287078094_D,UC,9287078094
GSM3666709,UC67,Urolthelial carcinoma (UC),Urolthelial carcinoma (UC),X9287078002_A,UC,9287078002
GSM3666710,UC68,Urolthelial carcinoma (UC),Urolthelial carcinoma (UC),X9464921100_E,UC,9464921100
GSM3666711,UC69,Urolthelial carcinoma (UC),Urolthelial carcinoma (UC),X9287078102_L,UC,9287078102
GSM3666712,UC70,Urolthelial carcinoma (UC),Urolthelial carcinoma (UC),X8381670051_D,UC,8381670051
GSM3666713,UC71,Urolthelial carcinoma (UC),Urolthelial carcinoma (UC),X9287078074_E,UC,9287078074
GSM3666714,UC72,Urolthelial carcinoma (UC),Urolthelial carcinoma (UC),X9287078069_G,UC,9287078069
GSM3666715,UC73,Urolthelial carcinoma (UC),Urolthelial carcinoma (UC),X9464921106_C,UC,9464921106
GSM3666716,UC74,Urolthelial carcinoma (UC),Urolthelial carcinoma (UC),X9287078094_A,UC,9287078094
GSM3666717,UC75,Urolthelial carcinoma (UC),Urolthelial carcinoma (UC),X9464921106_D,UC,9464921106
GSM3666718,UC76,Urolthelial carcinoma (UC),Urolthelial carcinoma (UC),X9287078087_B,UC,9287078087
GSM3666719,UC77,Urolthelial carcinoma (UC),Urolthelial carcinoma (UC),X9464921105_G,UC,9464921105
GSM3666720,UC78,Urolthelial carcinoma (UC),Urolthelial carcinoma (UC),X8381670042_H,UC,8381670042
GSM3666721,UC79,Urolthelial carcinoma (UC),Urolthelial carcinoma (UC),X8381670051_B,UC,8381670051
GSM3666722,UC80,Urolthelial carcinoma (UC),Urolthelial carcinoma (UC),X9287078021_E,UC,9287078021
GSM3666723,UC81,Urolthelial carcinoma (UC),Urolthelial carcinoma (UC),X9464921100_D,UC,9464921100
GSM3666724,UC82,Urolthelial carcinoma (UC),Urolthelial carcinoma (UC),X9287078102_K,UC,9287078102
GSM3666725,UC83,Urolthelial carcinoma (UC),Urolthelial carcinoma (UC),X9464921106_L,UC,9464921106
GSM3666726,UC84,Urolthelial carcinoma (UC),Urolthelial carcinoma (UC),X9287078094_B,UC,9287078094
GSM3666727,SARC01,Sarcomatoid (SARC),Sarcomatoid (SARC),X3999888133_E,SARC,3999888133
