gsm,title,cell_line,treatment,time,group
GSM5481887,RMC219_NEG_1,RMC219,DMSO,0 hours,NEG
GSM5481888,RMC219_NEG_2,RMC219,DMSO,0 hours,NEG
GSM5481889,RMC219_NEG_3,RMC219,DMSO,0 hours,NEG
GSM5481890,RMC219_12hr_1,RMC219,doxycycline,12 hours,DOX
GSM5481891,RMC219_12hr_2,RMC219,doxycycline,12 hours,DOX
GSM5481892,RMC219_12hr_3,RMC219,doxycycline,12 hours,DOX
GSM5481893,RMC219_48hr_1,RMC219,doxycycline,48 hours,DOX
GSM5481894,RMC219_48hr_2,RMC219,doxycycline,48 hours,DOX
GSM5481895,RMC219_48hr_3,RMC219,doxycycline,48 hours,DOX
GSM5481896,RMC2C_NEG_1,RMC-2C,DMSO,0 hours,NEG
GSM5481897,RMC2C_NEG_2,RMC-2C,DMSO,0 hours,NEG
GSM5481898,RMC2C_NEG_3,RMC-2C,DMSO,0 hours,NEG
GSM5481899,RMC2C_12hr_1,RMC-2C,doxycycline,12 hours,DOX
GSM5481900,RMC2C_12hr_2,RMC-2C,doxycycline,12 hours,DOX
GSM5481901,RMC2C_12hr_3,RMC-2C,doxycycline,12 hours,DOX
GSM5481902,RMC2C_48hr_1,RMC-2C,doxycycline,48 hours,DOX
GSM5481903,RMC2C_48hr_2,RMC-2C,doxycycline,48 hours,DOX
GSM5481904,RMC2C_48hr_3,RMC-2C,doxycycline,48 hours,DOX
