gene,log2fc,pvalue,qvalue
NEUROD1,6.68194229281184,1.5565703673942883e-13,3.233774938261634e-09
PPP1R17,5.610779840113024,3.887642201134658e-07,0.00229151050013621
NEUROD4,5.577614710886226,1.5856397449808805e-05,0.020112896249073278
CERKL,4.110555964852317,9.495855621579427e-05,0.033436678057341115
POPDC3,3.5672352382433266,2.2322762424974307e-05,0.021079790426310967
CHRNA1,3.492071453984219,0.0001252236384752586,0.038510429424481726
EPB41L3,3.2048966277628415,5.2283289350836115e-06,0.010208862913286402
FAM162B,3.091428307316411,5.282374362164498e-05,0.024511861586732693
RIMS4,2.683997802057289,0.00015744533599514442,0.03932545335777888
NHLH2,2.5871423557267534,0.0002062606725505172,0.04373516695594013
BIN1,2.5158529459460186,2.749311562616776e-05,0.023222039958886928
ANKRD33B,2.4429017159347715,3.710415665717922e-05,0.023222039958886928
FAM78B,2.351100232114156,5.5784148716836826e-05,0.02463044294658935
MGC2889,2.2820260291832515,1.542357753683214e-05,0.020112896249073278
BVES,2.1865936835014255,0.00023791789282957596,0.04563125282489326
SSTR2,2.158849284204125,0.0002668618877598624,0.04779358377768225
EDA,2.0600391544784102,9.701935907751486e-06,0.015504439883349009
GPR27,2.028631724288446,0.00029730736192401785,0.04924514085524326
MAP7D3,1.998578374762137,0.00011129106396641672,0.03557033621388165
PRRG1,1.93219973832525,2.064597701926849e-06,0.005408954095540224
GPRASP2,1.9151039192205568,3.4326866592181894e-05,0.023222039958886928
FAM155B,1.6301174545613577,0.00021250117866962627,0.0437471387420569
PTPN21,1.5132969524493989,0.00015496107183236849,0.03932545335777888
KDM4D,1.4391115626459867,0.0002265252880633173,0.04525060441841747
PRX,1.4340710316310314,3.708153452770845e-05,0.023222039958886928
CTNNBL1,1.1557695553079448,0.0002652674583082783,0.04779358377768225
PRKAA2,1.1486245266242134,0.00021268163720566773,0.0437471387420569
FKBP5,1.137665244387664,4.382923421102878e-05,0.023398613590625575
SCML2,1.0881080031715857,0.00027861860345643576,0.048575243502354565
ACTR5,1.0409772547399134,0.00019391630689569387,0.04250061594500616
