gene,log2fc,pvalue,qvalue
POU2F3,9.262461673068428,2.5974651508393197e-09,8.993723084781143e-06
LRMP,6.435683609026567,0.00035415529530329195,0.04204329291386223
PLA2G4A,6.095283737601074,4.228985945393324e-07,0.00041836753816926816
HMX3,6.035133859776346,0.00016655440988631176,0.02454019762686615
SH2D6,5.707499263536024,4.087934312544741e-06,0.0017693090696482704
SPIB,5.131429859122581,0.0004304809894396862,0.048077504044444636
SIM2,4.450744288497225,2.4445304974428768e-05,0.006595470270698151
TFAP2C,4.159965554586558,2.5405447144407226e-07,0.00030281913211629004
LANCL3,4.104034173216027,0.00046963752376284697,0.049526495209000744
FAT3,4.060973919060773,0.00012924868194867642,0.020189032838223705
CORO2B,3.922168365564999,0.00015898434680064976,0.02376186909916186
KLHDC7A,3.851038601765679,1.8599319052556589e-06,0.0009660021332921579
ALDH3B2,3.5702535413684284,0.00014172309336541456,0.021809609367899906
PTGS1,3.568876878574902,1.8584639594402946e-05,0.005595592573532192
ITGB4,3.551042135163275,4.234580096309464e-05,0.00966740675833287
FAM49A,3.472741019168426,2.476590192981422e-10,1.7150387086396345e-06
AVIL,3.4023981637631744,0.00026586169554242725,0.03409430077095016
DGKI,3.36365292911586,1.0353882704726721e-05,0.0036457951388253833
LOC400043,3.287030256810114,5.954234273936508e-08,0.00012369921704103096
MAL,3.205750862334303,8.193291780383944e-08,0.0001320426401311678
LOC100240735,3.168109882582394,2.6270691879143053e-05,0.006908526883407556
HOXA2,3.164733640771657,0.0002483523621769815,0.0324896419775615
SEMA7A,3.1124193810506466,2.62370367176569e-07,0.00030281913211629004
JPH3,3.106431925982462,1.5582480868631896e-06,0.0008570728297762532
PCNAP1,3.0949594757878227,0.00020331975132931664,0.028348777408500357
MAP4K1,3.033770175479635,5.7126769823822195e-06,0.0024220584552855228
LOC400685,3.0221893784782363,3.0587635760817476e-05,0.007749489425987598
RNF43,2.982307432162245,7.081019662388849e-08,0.0001320426401311678
PAQR5,2.904601723723353,7.431988214490872e-05,0.013543820627723496
EPHA1,2.765541980077376,6.0589163641260534e-05,0.012341966836011091
GRASP,2.7586500589309066,0.00048062557588407457,0.04968045006415656
CCR4,2.7337405670972452,5.2464734257706595e-05,0.011353696397956817
LAD1,2.6170310959488594,6.338225677651319e-05,0.01242232438237794
HSBP1L1,2.577821410569557,2.6064230812330697e-08,6.0164932791796694e-05
APOBEC3C,2.5118559743934346,0.0003633720318318555,0.042892352052879536
KIAA1107,2.505714835016719,6.237817173435209e-05,0.012341966836011091
P2RY10,2.4458200849117824,1.6293855755915268e-06,0.0008679611623824095
EFHB,2.4270151653106655,0.0003859885376415005,0.04455527512385632
HOXC6,2.3840522954923795,0.0002841162074896082,0.03577281339755521
CCDC69,2.3552411242781517,1.4430347820319629e-05,0.004758578983605401
AFF2,2.3497200673769223,0.0004634072477210229,0.04914906173562169
CPZ,2.2935665048143306,1.806297073367505e-05,0.005518503191060282
LOC389641,2.2288847981502777,6.357345917739849e-11,6.603693072052268e-07
AGRN,2.200635871901989,0.00011205056794486105,0.018475004357575302
C1orf106,2.180893519270554,0.00024106629583269275,0.0324896419775615
LYL1,2.180856295117972,3.916351189430211e-05,0.009141819770832879
TGIF2,2.087045718010761,7.580091228932113e-07,0.0006846799794828898
SULT1C4,2.0688508486780663,2.5690109079872565e-05,0.006842461745312212
LY75,2.0057759854737642,0.00030879828040548973,0.03765903061513924
PROM2,1.9912428126930752,2.94765521464273e-07,0.00032230282675896164
SLC22A15,1.9468958838074677,0.00020538502902546198,0.028445826520026484
ZNF300,1.8342348552855796,0.00014918742234256457,0.02276868919844658
LOC100507557,1.6842068447287137,9.085459199359486e-05,0.016271587488508047
FURIN,1.6837617896116601,0.0003873824421559154,0.04455527512385632
DENND2D,1.6775664555417498,4.082731005885268e-06,0.0017693090696482704
ARHGAP27,1.6682500630582329,0.0001002276963286305,0.017067462223174578
H2AFY2,1.6667214280619165,0.00028907788938968836,0.03617827200042636
TMC6,1.6144096820238385,3.151482520611631e-06,0.00150384409104603
C1S,1.5965462975786178,0.00020281130689114111,0.028348777408500357
LTBR,1.4903226968797298,0.00011675006894007379,0.018802191335116535
RHPN1,1.4811815279061156,2.4312899122838476e-05,0.006595470270698151
PTTG3P,1.4779742811090695,4.7715583305487604e-05,0.010659045625500053
CYP4V2,1.4618166370103074,0.000281836466575423,0.03577136969832658
LCOR,1.4050113049487782,0.00043510554891599244,0.048081477546434805
PBX1,1.2994845657698413,0.0001365170540818745,0.02116523730261898
DOCK1,1.0204285388304095,0.00016433482324281377,0.02438611394906754
