probe_id,gene,log2fc,pvalue,qvalue
ILMN_1804461,MYH14,-2.408254930032405,1.2489452771831459e-12,7.308817810320572e-11
ILMN_1655637,UPK1A,-2.375721724567777,1.2659177073095674e-18,3.475594811928333e-16
ILMN_1801216,S100P,-2.3020589618133105,2.503569489557057e-11,1.0476832036284567e-09
ILMN_1685934,UPK2,-2.2813128790301027,2.306450618455791e-22,1.7830684162730466e-19
ILMN_1796337,CXCL17,-2.2044972350185956,1.364966896472795e-24,3.084510193667792e-21
ILMN_1791826,RAB25,-2.1517062680712042,1.0164057251199802e-22,9.631919673177309e-20
ILMN_1782389,LAD1,-2.1496408683159283,3.2824696395118046e-08,5.791538174170467e-07
ILMN_1769201,ELF3,-2.1430144981816603,3.781769956963814e-11,1.5218774798044651e-09
ILMN_2376050,FXYD3,-2.088067501776381,3.3994756376822593e-19,1.09743292096914e-16
ILMN_1739001,TACSTD2,-2.0642341892464726,9.567348324614039e-09,1.964081004417796e-07
ILMN_1771538,PSCA,-2.027012521103112,6.404301967076996e-10,1.786696855525365e-08
ILMN_1733811,JUP,-1.9632545313239218,1.9517016151231428e-10,6.321404448453425e-09
ILMN_1751607,FOSB,-1.9524910080544045,7.378336275982494e-10,2.031428161007851e-08
ILMN_2173291,CYP4B1,-1.9149354337353746,1.15134997357693e-14,1.1909580342876575e-12
ILMN_1807169,TINAGL1,-1.887991373769422,2.3339902648481824e-10,7.36472953925296e-09
ILMN_1730777,KRT19,-1.8743446983647924,2.145985292591438e-06,2.2515217835878097e-05
ILMN_1665372,FXYD3,-1.829865921378202,1.554175114432532e-14,1.54246629515826e-12
ILMN_1810172,SFRP4,-1.8293089601536394,1.5433246601604576e-09,3.908469701856359e-08
ILMN_1727288,EVPL,-1.8253299863061896,2.268735201765086e-07,3.1381677092415534e-06
ILMN_2264177,UPK3B,-1.806617459419182,2.565975957154783e-16,4.211210932588607e-14
ILMN_2405254,GRB7,-1.7463181039838584,2.1285808275639263e-16,3.609471815553089e-14
ILMN_2355168,MGST1,-1.7323456437533196,8.279311949857596e-11,2.9953367875734802e-09
ILMN_1716591,SPRR1A,-1.7164742694205426,1.843732397827735e-09,4.563043525778043e-08
ILMN_1661178,NR4A1,-1.7008921857882884,4.031008274375119e-09,9.158463269630153e-08
ILMN_1766650,FOXA1,-1.6974717259562953,4.830100321128305e-20,1.917484555861976e-17
ILMN_1748323,CXCL14,-1.6634291935525587,1.2120437471415387e-20,5.236207229378968e-18
ILMN_1740762,GRB7,-1.661896906253256,6.018914658520253e-17,1.1709778537970165e-14
ILMN_1787266,SPINK1,-1.661504416228821,1.4751236545453478e-11,6.590152623353005e-10
ILMN_1794729,KRT20,-1.6611773581106641,1.75631453757195e-14,1.714127979078112e-12
ILMN_3245893,SNORA1,-1.649373607499606,2.053733159963489e-28,2.0110839680082472e-24
ILMN_1749180,RBM35A,-1.6471178461246732,8.587406154090634e-09,1.775314782468125e-07
ILMN_1789846,ITGB6,-1.6403051638558281,5.2967474846185715e-09,1.1577570748187483e-07
ILMN_1721218,KRT13,-1.6123097478103512,4.4513757476503223e-07,5.636554540462221e-06
ILMN_3236149,SNORD58A,-1.611498481878904,1.3855200768997421e-37,4.070242329908372e-33
ILMN_1660086,MYH11,-1.5950420084942483,1.075631616911937e-06,1.2314431024950108e-05
ILMN_2397602,ERBB3,-1.5932132713011988,2.8817334605103753e-07,3.877997428740875e-06
ILMN_1682599,GPRC5A,-1.5819110049063676,1.164271334133679e-09,3.0321630303940687e-08
ILMN_2060145,GRHL2,-1.5721648731840725,6.769314915841059e-08,1.0903925168747406e-06
ILMN_1721283,HSPB6,-1.5710683897887687,5.878952101422953e-07,7.175154793664399e-06
ILMN_1763196,WDR72,-1.5662364010205954,5.014830804193101e-08,8.346780993471996e-07
ILMN_3307841,AGR2,-1.5457659077304813,2.8733661247342934e-12,1.5347432117512607e-10
ILMN_1763127,CCBP2,-1.5333128857931078,1.664779897363216e-09,4.176450815101554e-08
ILMN_1659749,DSP,-1.5095112430514162,2.919213227984411e-13,2.0664512529758566e-11
ILMN_1740917,SCNN1B,-1.4712980566256357,1.7093545852696718e-14,1.6738569883822382e-12
ILMN_2375992,SPINT1,-1.4596051317366054,2.5038821996820905e-10,7.833498123542147e-09
ILMN_2412336,AKR1C2,-1.4582229664019657,2.2438870550300596e-05,0.00017868980757825446
ILMN_1740586,PLA2G2A,-1.4552960040072929,1.992562654039192e-06,2.110148272808556e-05
ILMN_1690034,SOD3,-1.4498981601456622,3.7908907688157217e-10,1.128318116671727e-08
ILMN_1741755,TRIM29,-1.4489843485006277,1.267481705081815e-14,1.2928753489648778e-12
ILMN_2342033,F11R,-1.4431595663384087,1.705075988288031e-15,2.3189822827748834e-13
ILMN_2160209,TACSTD1,-1.4411142837620492,1.2427292487548715e-21,6.7606772482725665e-19
ILMN_1752932,MPZL2,-1.4372249895285192,2.6629523516171628e-18,7.047707318329495e-16
ILMN_1805519,CD24,-1.4330589303532877,1.2447534569702997e-19,4.4056773861947587e-17
ILMN_1803312,DIMT1L,-1.427072410276292,1.9018101238948852e-17,4.0632924527088586e-15
ILMN_1663640,MAOA,-1.4202118986786845,7.749945969160478e-07,9.175866185163877e-06
ILMN_1774982,CDC42EP5,-1.4162889682851398,7.529226786593851e-16,1.1059304765488377e-13
ILMN_1733042,BCAS1,-1.4114539131355137,5.021723304963488e-19,1.505338423774616e-16
ILMN_2353276,UPK3B,-1.4039977212794854,9.998211977645783e-11,3.5473124790736736e-09
ILMN_1723123,FGFR3,-1.4008239011788426,8.151752188403001e-08,1.2847318886197154e-06
ILMN_1699887,ST14,-1.3919575166281621,1.8637695491683452e-10,6.076798895218477e-09
ILMN_1765547,IRF2,-1.3868778224990415,5.223768527844604e-14,4.500253608284191e-12
ILMN_1745623,EFCAB4A,-1.3853582297054077,8.069054271774678e-12,3.824288399467047e-10
ILMN_2160210,TACSTD1,-1.3821910160989104,8.895422425819995e-17,1.6365002091545836e-14
ILMN_1814270,LY6D,-1.378640111007062,0.00033149196149162075,0.0018256916671802294
ILMN_1803788,LGALS3,-1.3750942937760167,1.401991202352256e-23,1.8721043432501013e-20
