dataset,cancer,gene,group_a,group_b,mean_a,mean_b,log2FC,t_stat,p_value,n_a,n_b
GSE199274,NEPC,DDX11L1,LKO_control,shCXCR7,0.0,0.0057,22.4316,-1.0,0.363217,6,6
GSE199274,NEPC,WASH7P,LKO_control,shCXCR7,0.2496,0.2626,0.0736,-0.2258,0.82591,6,6
GSE199274,NEPC,MIR6859-3,LKO_control,shCXCR7,0.0,0.0,0.0,0.0,1.0,6,6
GSE199274,NEPC,MIR6859-2,LKO_control,shCXCR7,0.0,0.0,0.0,0.0,1.0,6,6
GSE199274,NEPC,MIR6859-1,LKO_control,shCXCR7,0.0,0.0,0.0,0.0,1.0,6,6
GSE199274,NEPC,MIR6859-4,LKO_control,shCXCR7,0.0,0.0,0.0,0.0,1.0,6,6
GSE199274,NEPC,MIR1302-2,LKO_control,shCXCR7,0.0,0.0,0.0,0.0,1.0,6,6
GSE199274,NEPC,MIR1302-11,LKO_control,shCXCR7,0.0,0.0,0.0,0.0,1.0,6,6
GSE199274,NEPC,MIR1302-9,LKO_control,shCXCR7,0.0,0.0,0.0,0.0,1.0,6,6
GSE199274,NEPC,MIR1302-10,LKO_control,shCXCR7,0.0,0.0,0.0,0.0,1.0,6,6
GSE199274,NEPC,FAM138A,LKO_control,shCXCR7,0.0,0.0,0.0,0.0,1.0,6,6
GSE199274,NEPC,FAM138C,LKO_control,shCXCR7,0.0,0.0,0.0,0.0,1.0,6,6
GSE199274,NEPC,FAM138F,LKO_control,shCXCR7,0.0,0.0,0.0,0.0,1.0,6,6
GSE199274,NEPC,OR4F5,LKO_control,shCXCR7,0.0,0.0153,23.8642,-1.0,0.363217,6,6
GSE199274,NEPC,LOC729737,LKO_control,shCXCR7,0.0802,0.1276,0.67,-0.8365,0.428947,6,6
GSE199274,NEPC,FAM138D,LKO_control,shCXCR7,0.0,0.0,0.0,0.0,1.0,6,6
GSE199274,NEPC,OR4F29,LKO_control,shCXCR7,0.0,0.0,0.0,0.0,1.0,6,6
GSE199274,NEPC,OR4F3,LKO_control,shCXCR7,0.0,0.0,0.0,0.0,1.0,6,6
GSE199274,NEPC,OR4F16,LKO_control,shCXCR7,0.0,0.0,0.0,0.0,1.0,6,6
GSE199274,NEPC,LOC100132287,LKO_control,shCXCR7,0.0,0.0,0.0,0.0,1.0,6,6
GSE199274,NEPC,LOC100132062,LKO_control,shCXCR7,0.0,0.0,0.0,0.0,1.0,6,6
GSE199274,NEPC,LOC101928626,LKO_control,shCXCR7,0.0,0.0,0.0,0.0,1.0,6,6
GSE199274,NEPC,MIR6723,LKO_control,shCXCR7,2.3998,3.1419,0.3887,-0.6459,0.533909,6,6
GSE199274,NEPC,LOC100133331,LKO_control,shCXCR7,0.4787,0.3966,-0.2713,1.2814,0.229938,6,6
GSE199274,NEPC,LOC100288069,LKO_control,shCXCR7,1.1441,1.0278,-0.1547,0.6285,0.543812,6,6
GSE199274,NEPC,FAM87B,LKO_control,shCXCR7,0.0667,0.1725,1.3714,-2.0334,0.090509,6,6
GSE199274,NEPC,LINC00115,LKO_control,shCXCR7,0.2352,0.3226,0.456,-1.0848,0.305856,6,6
GSE199274,NEPC,LINC01128,LKO_control,shCXCR7,1.0998,0.8034,-0.4531,1.7932,0.104106,6,6
GSE199274,NEPC,FAM41C,LKO_control,shCXCR7,0.0,0.0603,25.8447,-1.0,0.363217,6,6
GSE199274,NEPC,LOC100130417,LKO_control,shCXCR7,27.3095,19.8012,-0.4638,1.368,0.20149,6,6
GSE199274,NEPC,SAMD11,LKO_control,shCXCR7,23.055,20.4192,-0.1752,0.6214,0.548256,6,6
GSE199274,NEPC,NOC2L,LKO_control,shCXCR7,65.2242,40.0833,-0.7024,4.6545,0.002693,6,6
GSE199274,NEPC,KLHL17,LKO_control,shCXCR7,39.2423,30.8842,-0.3455,0.802,0.441239,6,6
GSE199274,NEPC,PLEKHN1,LKO_control,shCXCR7,13.0304,12.3951,-0.0721,0.3844,0.711934,6,6
GSE199274,NEPC,PERM1,LKO_control,shCXCR7,4.7975,4.2644,-0.1699,0.8414,0.423227,6,6
GSE199274,NEPC,HES4,LKO_control,shCXCR7,28.9852,22.9575,-0.3364,1.3591,0.217033,6,6
GSE199274,NEPC,ISG15,LKO_control,shCXCR7,66.4302,61.2323,-0.1175,0.5644,0.588763,6,6
GSE199274,NEPC,AGRN,LKO_control,shCXCR7,81.9151,67.5682,-0.2778,0.5457,0.597228,6,6
GSE199274,NEPC,RNF223,LKO_control,shCXCR7,3.4754,2.1101,-0.7199,1.6571,0.12907,6,6
GSE199274,NEPC,C1orf159,LKO_control,shCXCR7,8.4773,8.2515,-0.0389,0.1656,0.871794,6,6
GSE199274,NEPC,LINC01342,LKO_control,shCXCR7,0.0,0.103,26.6176,-1.0946,0.323606,6,6
GSE199274,NEPC,MIR200B,LKO_control,shCXCR7,4.4933,3.1995,-0.4899,0.7652,0.468518,6,6
GSE199274,NEPC,MIR200A,LKO_control,shCXCR7,5.1523,3.7236,-0.4685,1.2603,0.255708,6,6
GSE199274,NEPC,MIR429,LKO_control,shCXCR7,14.1062,6.7452,-1.0644,2.4395,0.041023,6,6
GSE199274,NEPC,TTLL10,LKO_control,shCXCR7,0.0817,0.1408,0.7849,-0.5761,0.587337,6,6
GSE199274,NEPC,TNFRSF18,LKO_control,shCXCR7,6.7249,6.1986,-0.1176,0.1398,0.891581,6,6
GSE199274,NEPC,TNFRSF4,LKO_control,shCXCR7,0.0903,0.2595,1.5221,-1.1589,0.286299,6,6
GSE199274,NEPC,SDF4,LKO_control,shCXCR7,136.7825,117.7021,-0.2167,1.0653,0.330763,6,6
GSE199274,NEPC,B3GALT6,LKO_control,shCXCR7,44.2722,35.0011,-0.339,1.7758,0.110594,6,6
GSE199274,NEPC,FAM132A,LKO_control,shCXCR7,1.2384,1.1759,-0.0747,0.2368,0.817659,6,6
GSE199274,NEPC,UBE2J2,LKO_control,shCXCR7,36.2702,35.0547,-0.0492,0.2727,0.795168,6,6
GSE199274,NEPC,SCNN1D,LKO_control,shCXCR7,13.4455,8.6385,-0.6383,2.7243,0.028941,6,6
GSE199274,NEPC,ACAP3,LKO_control,shCXCR7,53.6276,57.0057,0.0881,-0.443,0.671849,6,6
GSE199274,NEPC,MIR6726,LKO_control,shCXCR7,0.2504,0.4738,0.92,-0.5717,0.580517,6,6
GSE199274,NEPC,PUSL1,LKO_control,shCXCR7,17.663,16.133,-0.1307,0.7326,0.490111,6,6
GSE199274,NEPC,CPSF3L,LKO_control,shCXCR7,45.6708,37.681,-0.2774,1.4021,0.199318,6,6
GSE199274,NEPC,MIR6727,LKO_control,shCXCR7,6.6519,3.334,-0.9965,1.5174,0.16983,6,6
GSE199274,NEPC,CPTP,LKO_control,shCXCR7,14.1086,30.6371,1.1187,-3.9242,0.006954,6,6
GSE199274,NEPC,TAS1R3,LKO_control,shCXCR7,1.3463,1.2745,-0.0791,0.2794,0.786203,6,6
GSE199274,NEPC,DVL1,LKO_control,shCXCR7,85.448,66.1843,-0.3686,1.7607,0.124743,6,6
GSE199274,NEPC,MIR6808,LKO_control,shCXCR7,0.7454,0.7426,-0.0054,0.0045,0.996527,6,6
GSE199274,NEPC,MXRA8,LKO_control,shCXCR7,56.8396,37.8987,-0.5847,3.4361,0.007024,6,6
GSE199274,NEPC,AURKAIP1,LKO_control,shCXCR7,98.1344,101.964,0.0552,-0.294,0.779393,6,6
GSE199274,NEPC,CCNL2,LKO_control,shCXCR7,76.938,55.6703,-0.4668,2.0096,0.084026,6,6
GSE199274,NEPC,LOC148413,LKO_control,shCXCR7,19.395,13.1482,-0.5608,3.7075,0.005394,6,6
GSE199274,NEPC,MRPL20,LKO_control,shCXCR7,104.3939,93.7776,-0.1547,0.8206,0.440736,6,6
GSE199274,NEPC,ANKRD65,LKO_control,shCXCR7,1.1805,1.3755,0.2206,-0.2831,0.782966,6,6
GSE199274,NEPC,TMEM88B,LKO_control,shCXCR7,0.2329,0.0754,-1.6276,1.9745,0.077879,6,6
GSE199274,NEPC,LOC102724312,LKO_control,shCXCR7,4.916,3.5936,-0.4521,1.7241,0.115784,6,6
GSE199274,NEPC,VWA1,LKO_control,shCXCR7,30.1702,28.3268,-0.091,0.3803,0.715539,6,6
GSE199274,NEPC,ATAD3C,LKO_control,shCXCR7,0.4202,0.1935,-1.119,3.5021,0.007731,6,6
GSE199274,NEPC,ATAD3B,LKO_control,shCXCR7,17.8705,15.589,-0.1971,0.9216,0.388513,6,6
GSE199274,NEPC,ATAD3A,LKO_control,shCXCR7,22.5202,14.7544,-0.6101,4.3183,0.003717,6,6
GSE199274,NEPC,TMEM240,LKO_control,shCXCR7,0.4086,0.3441,-0.2481,0.5621,0.586811,6,6
GSE199274,NEPC,SSU72,LKO_control,shCXCR7,80.917,84.4813,0.0622,-0.323,0.756398,6,6
