dataset,cancer,comparison,pathway,N_tested,K_in_pathway,n_sig_DE,k_sig_in_pathway,k_upregulated,k_downregulated,expected,odds_ratio,p_value_enrichment,p_value_upregulated,neg_log10_p,sig_pathway_genes,upregulated_pathway_genes
GSE199274,NEPC,shCXCR7_vs_LKO_control,Cell_Cycle,26441,57,2445,15,2,13,5.27,2.857,0.000153,0.612756,3.814,AURKC;CCNA2;CCND1;CCNE1;CCNE2;CDK2;CDKN2B;E2F1;E2F3;MAD2L1;MCM3;MCM4;MCM7;PLK3;TFDP1,AURKC;CDKN2B
GSE199274,NEPC,shCXCR7_vs_LKO_control,PI3K_AKT,26441,65,2445,8,3,5,6.01,1.332,0.250393,0.415693,0.601,GRB2;GSK3A;IGF1R;MTOR;PDGFRB;PIK3R2;PIK3R3;RHEB,IGF1R;PDGFRB;PIK3R2
GSE199274,NEPC,shCXCR7_vs_LKO_control,HIF1_Signaling,26441,43,2445,6,2,4,3.98,1.51,0.202994,0.461075,0.693,BNIP3L;EGLN3;HK2;HMOX1;MYC;VHL,EGLN3;HMOX1
GSE199274,NEPC,shCXCR7_vs_LKO_control,VEGF_Signaling,26441,45,2445,6,2,4,4.16,1.443,0.233509,0.484823,0.632,CDC42;GRB2;LIMK1;NCK2;PAK2;PLCG1,LIMK1;NCK2
GSE199274,NEPC,shCXCR7_vs_LKO_control,p53_Signaling,26441,38,2445,8,3,5,3.51,2.281,0.020883,0.155586,1.68,BAX;CASP8;CCNG2;PERP;PMAIP1;POLD1;RRM2;TNFRSF10A,CASP8;PERP;PMAIP1
GSE199274,NEPC,shCXCR7_vs_LKO_control,DNA_Repair_HR,26441,40,2445,6,0,6,3.7,1.624,0.160279,1.0,0.795,BRCA1;FANCA;FANCC;FANCD2;RAD51C;RFC2,
GSE199274,NEPC,shCXCR7_vs_LKO_control,Epigenetic_Regulation,26441,50,2445,6,0,6,4.62,1.298,0.314837,1.0,0.502,HDAC2;HDAC4;KAT2B;KDM6A;RNF2;SMARCC1,
GSE199274,NEPC,shCXCR7_vs_LKO_control,Apoptosis_BCL2,26441,37,2445,6,2,4,3.42,1.756,0.122011,0.386232,0.914,BAX;CASP8;CYCS;PMAIP1;TNFRSF10A;TRAF2,CASP8;PMAIP1
GSE216053,NEPC,Decitabine_D14_vs_Control_NEPC,Cell_Cycle,37785,15,2962,0,0,0,1.18,0.0,1.0,1.0,-0.0,,
GSE216053,NEPC,Decitabine_D14_vs_Control_NEPC,PI3K_AKT,37785,29,2962,3,2,1,2.27,1.32,0.399795,0.52637,0.398,ERBB2;ERBB3;NRAS,ERBB2;ERBB3
GSE216053,NEPC,Decitabine_D14_vs_Control_NEPC,HIF1_Signaling,37785,12,2962,1,1,0,0.94,1.063,0.624598,0.524277,0.204,EPAS1,EPAS1
GSE216053,NEPC,Decitabine_D14_vs_Control_NEPC,VEGF_Signaling,37785,13,2962,1,0,1,1.02,0.981,0.654035,1.0,0.184,NRAS,
GSE216053,NEPC,Decitabine_D14_vs_Control_NEPC,p53_Signaling,37785,8,2962,0,0,0,0.63,0.0,1.0,1.0,-0.0,,
GSE216053,NEPC,Decitabine_D14_vs_Control_NEPC,DNA_Repair_HR,37785,4,2962,1,1,0,0.31,3.19,0.278592,0.219338,0.555,BRCA1,BRCA1
GSE216053,NEPC,Decitabine_D14_vs_Control_NEPC,Epigenetic_Regulation,37785,6,2962,1,1,0,0.47,2.126,0.387275,0.310253,0.412,EZH2,EZH2
GSE216053,NEPC,Decitabine_D14_vs_Control_NEPC,Apoptosis_BCL2,37785,5,2962,0,0,0,0.39,0.0,1.0,1.0,-0.0,,
