Target,Cancer context,Core agent (Table 1),Additional FDA-approved agents,Late-stage investigational agents,Notes
BCL2,NEPC,Venetoclax,—,Navitoclax (BCL2/BCL-XL); APG-2575 (lisaftoclax; selective BCL2); BGB-11417 (sonrotoclax),"Co-elevated BCL2L1 (TPM=31), MCL1 (TPM=134) in PM154 suggests navitoclax may add benefit by dual BCL2/BCL-XL inhibition; MCL1 selective inhibitors (S64315, AZD5991) also of interest."
AURKA,NEPC,Alisertib (MLN8237; investigational),—,MLN8054 (AURKA-selective); ENMD-2076 (Aurora-A + FLT3); TAS-119 (AURKA); AT9283 (multi-Aurora),N-Myc/Aurora-A complex disruption (Beltran 2019) is the molecular rationale; combinations with venetoclax or platinum may be additive.
AURKB,NEPC,Alisertib (off-target AURKB),—,Barasertib (AZD1152; AURKB-selective); BI-831266 (AURKB),"If AURKB enrichment is the dominant signal (as seen in MIBC), barasertib may be more on-target than alisertib."
EZH2,NEPC,Tazemetostat,—,GSK126; GSK343; CPI-1205; PF-06821497 (mevrometostat; pan-EZH1/2),Mevrometostat in CRPC enzalutamide-combination trials; CPI-1205 advancing in NHL/solid tumors.
DNMT1/3A/3B,NEPC,Decitabine,"Azacitidine (Vidaza); Decitabine+cedazuridine (Inqovi, oral); CC-486 / oral azacitidine (Onureg, AML maintenance)","Guadecitabine (SGI-110, Phase III-evaluated)","Oral options (Inqovi, Onureg) improve outpatient combination feasibility; guadecitabine remains investigational after mixed Phase III results."
PARP1/2 (HRR),NEPC,Olaparib (new Row 6),Rucaparib; Niraparib; Talazoparib,Pamiparib; Veliparib (terminated),Talazoparib has higher PARP-trapping potency; niraparib has CNS penetration; rucaparib has BARD1/CHEK2 spectrum.
AURKA/AURKB,MIBC,Alisertib,—,Barasertib; Tozasertib (VX-680); ENMD-2076,Burgess et al. 2019 reported AURKA-high MIBC OS HR=6.10 after NAC; barasertib's AURKB-selectivity matches MIBC's strongest panel signal (AURKB log2FC=+4.08).
TTK (Mps1),MIBC,(not in Table 1),—,BAY1217389 (empesertib); CFI-402257; BOS172722; S81694,TTK is the strongest panel finding after AURKB (log2FC=+3.60 in GSE130598); under active investigation in solid tumors.
PLK1,MIBC,(not in Table 1),—,Volasertib (BI 6727); Onvansertib (PCM-075); Rigosertib,PLK1 log2FC=+3.54 in MIBC kinome; volasertib in Phase II AML; onvansertib in Phase II CRC.
CHEK1/2 (cell-cycle checkpoint),MIBC,(not in Table 1),—,Prexasertib (LY2606368; CHEK1); AZD7762 (CHEK1/2); SRA737,CHEK1 log2FC=+2.46 in MIBC; checkpoint inhibition synergizes with WEE1 inhibition.
WEE1,MIBC,(not in Table 1),—,Adavosertib (AZD1775); ZN-c3 (azenosertib); Debio-0123,WEE1 log2FC=−1.12 in MIBC suggests checkpoint bypass; WEE1 inhibition may resensitize.
FGFR2/3,MIBC,Erdafitinib,Pemigatinib (cholangiocarcinoma); Futibatinib (cholangiocarcinoma; covalent),Rogaratinib; LY2874455 (Y-485),Pemigatinib and futibatinib have different isoform-selectivity profiles; futibatinib is covalent and active against some resistance mutations. ⚠ Infigratinib (Truseltiq): FDA approval withdrawn 2024 — no longer commercially available.
PARP1/2 (ERCC2/ATM biomarker),MIBC,Talazoparib,Olaparib; Rucaparib; Niraparib,Pamiparib,BAYOU (durvalumab+olaparib) showed mixed results; mUC trials ongoing with combination strategies.
PIK3CA,MIBC,Alpelisib (α-isoform),Inavolisib (approved in combination with palbociclib + fulvestrant for PIK3CA-mutated HR+/HER2− advanced breast cancer),Serabelisib; LY3023414 (samotolisib; dual PI3K/mTOR),Inavolisib has improved selectivity and lower hyperglycemia versus alpelisib but is indication-specific (breast). ⚠ Copanlisib (Aliqopa): FDA-withdrew the relapsed follicular lymphoma indication in 2024 — no longer approved for B-cell NHL.
NECTIN4,MIBC,Enfortumab Vedotin,—,Disitamab vedotin (HER2-positive bladder also developed; not NECTIN4); EV combinations under investigation,Currently no other approved anti-NECTIN4 ADC; future bispecific and CAR-T approaches in development.
PD-1 / PD-L1,MIBC,Pembrolizumab,Nivolumab; Atezolizumab; Durvalumab; Avelumab; Cemiplimab,Tislelizumab; Toripalimab,Multiple approved options with varying biomarker thresholds; combination with EV (per EV-302) currently SOC.
CDK4/6,MIBC,Palbociclib,Ribociclib; Abemaciclib,Trilaciclib (CDK4/6 myeloprotection),Abemaciclib has best CNS penetration; ribociclib has strongest OS data in HR+ breast.
VEGFR1-3/PDGFRα-β,ccRCC/sRCC,Pazopanib,Sunitinib; Axitinib; Lenvatinib; Cabozantinib (also MET/AXL); Tivozanib,—,Cabozantinib (MET/AXL/VEGFR multikinase) has shown particular sRCC activity in CheckMate 9ER and ANTHEM; tivozanib is more VEGFR-selective with lower off-target toxicity.
HIF2α / EPAS1,ccRCC/sRCC,Belzutifan,—,MK-3795; ARO-HIF2 (HIF2α-targeted siRNA); next-gen HIF2 inhibitors in development,Belzutifan is currently the only approved HIF2α inhibitor; ARO-HIF2 in Phase I.
CDK4/6,ccRCC (exploratory),Abemaciclib,Palbociclib; Ribociclib,Trilaciclib,Limited RCC-specific data; rationale rests on CDKN2A-deleted KIRC subset (~3%).
