gene,subtype,n_in,n_out,mean_in,mean_out,log2FC,p
DLL3,ASCL1+,19,25,8.061,6.643,1.418,0.03882746329377777
DLL3,NEUROD1+,10,34,6.176,7.573,-1.396,0.1923179958325884
DLL3,POU2F3+,7,37,6.284,7.439,-1.155,0.036702412730695834
DLL3,YAP1+,8,36,7.54,7.192,0.348,0.7125052464452726
ASCL1,ASCL1+,19,25,11.249,4.053,7.196,1.5733827294907915e-12
ASCL1,NEUROD1+,10,34,4.934,7.816,-2.881,0.017671301229930516
ASCL1,POU2F3+,7,37,2.746,7.996,-5.25,0.0010734499615254907
ASCL1,YAP1+,8,36,4.096,7.842,-3.745,0.025117380331807094
NEUROD1,ASCL1+,19,25,2.463,5.317,-2.854,0.008685437765457339
NEUROD1,NEUROD1+,10,34,9.248,2.566,6.682,1.5565703673942772e-13
NEUROD1,POU2F3+,7,37,1.077,4.654,-3.577,0.002948676250339117
NEUROD1,YAP1+,8,36,4.114,4.078,0.035,0.9770576622873305
POU2F3,ASCL1+,19,25,1.257,4.431,-3.174,0.00532958451058555
POU2F3,NEUROD1+,10,34,2.206,3.311,-1.105,0.3962486364755111
POU2F3,POU2F3+,7,37,10.849,1.586,9.262,2.5974651508393197e-09
POU2F3,YAP1+,8,36,1.595,3.386,-1.791,0.14399556744308775
YAP1,ASCL1+,19,25,6.973,7.498,-0.525,0.3332194265911721
YAP1,NEUROD1+,10,34,6.681,7.445,-0.764,0.18877660962469317
YAP1,POU2F3+,7,37,8.175,7.1,1.075,0.05832212286270082
YAP1,YAP1+,8,36,7.927,7.126,0.801,0.34807996649833906
NOTCH1,ASCL1+,19,25,7.524,8.052,-0.527,0.2782778837936953
NOTCH1,NEUROD1+,10,34,7.813,7.827,-0.014,0.9839027685152428
NOTCH1,POU2F3+,7,37,8.911,7.618,1.293,0.1147751069226733
NOTCH1,YAP1+,8,36,7.597,7.874,-0.277,0.6604239501230142
NOTCH2,ASCL1+,19,25,6.065,6.35,-0.286,0.6466678735071383
NOTCH2,NEUROD1+,10,34,5.857,6.336,-0.478,0.40581557460315176
NOTCH2,POU2F3+,7,37,6.232,6.226,0.006,0.9897733334797609
NOTCH2,YAP1+,8,36,7.071,6.04,1.031,0.06314708990167649
HES1,ASCL1+,19,25,2.6,1.864,0.736,0.031164721491983616
HES1,NEUROD1+,10,34,1.615,2.349,-0.734,0.1342637106414058
HES1,POU2F3+,7,37,2.089,2.2,-0.111,0.832224931912149
HES1,YAP1+,8,36,1.979,2.227,-0.248,0.6158455021888445
HES6,ASCL1+,19,25,8.238,7.628,0.609,0.4033411109328724
HES6,NEUROD1+,10,34,8.058,7.842,0.216,0.7553306261892629
HES6,POU2F3+,7,37,6.372,8.179,-1.807,0.10740946577694027
HES6,YAP1+,8,36,8.19,7.825,0.365,0.731596691231671
INSM1,ASCL1+,19,25,11.175,8.958,2.217,0.030183240307083994
INSM1,NEUROD1+,10,34,11.209,9.535,1.675,0.1379120302589193
INSM1,POU2F3+,7,37,6.187,10.621,-4.433,0.03235258357699397
INSM1,YAP1+,8,36,8.567,10.215,-1.647,0.3048310199165547
CHGA,ASCL1+,19,25,10.294,6.919,3.375,0.0020601478563469586
CHGA,NEUROD1+,10,34,7.533,8.624,-1.091,0.4064164609248744
CHGA,POU2F3+,7,37,4.493,9.111,-4.618,0.016922351504840658
CHGA,YAP1+,8,36,8.274,8.399,-0.125,0.8825914554882984
SYP,ASCL1+,19,25,8.714,7.838,0.877,0.07397441255424773
SYP,NEUROD1+,10,34,8.794,8.047,0.747,0.28761382864674917
SYP,POU2F3+,7,37,6.691,8.505,-1.814,0.05831822669071728
SYP,YAP1+,8,36,7.646,8.343,-0.697,0.20331544508447466
SEZ6,ASCL1+,19,25,8.147,6.124,2.023,0.004360985990172864
SEZ6,NEUROD1+,10,34,7.136,6.957,0.179,0.8184081583619305
SEZ6,POU2F3+,7,37,4.316,7.505,-3.189,0.030427428818974547
SEZ6,YAP1+,8,36,6.442,7.121,-0.68,0.5955695456909598
CEACAM5,ASCL1+,19,25,8.536,2.346,6.19,2.9305060514997263e-06
CEACAM5,NEUROD1+,10,34,2.286,5.823,-3.537,0.0066976551952281395
CEACAM5,POU2F3+,7,37,2.701,5.458,-2.757,0.06835851088812643
CEACAM5,YAP1+,8,36,2.112,5.665,-3.554,0.019691013695412114
SSTR2,ASCL1+,19,25,4.614,5.071,-0.457,0.5018467332663927
SSTR2,NEUROD1+,10,34,6.541,4.383,2.159,0.00026686188775986266
SSTR2,POU2F3+,7,37,4.532,4.938,-0.406,0.65271874235364
SSTR2,YAP1+,8,36,3.703,5.133,-1.43,0.17716949602653828
