context,direction,library,rank,term,p_value,adj_p_value,overlap_genes,matches_nominated_agent
renal medullary carcinoma,reversal,LINCS_L1000_Chem_Pert_down,1,LJP006 HME1 3H-BMS-387032-0.12,1.552152863452545e-15,1.214249185078926e-11,NR4A2;NR4A3;IL8;GADD45A;MAFF;CXCL2;DHRS2;HBEGF,
renal medullary carcinoma,reversal,LINCS_L1000_Chem_Pert_down,2,LJP006 HME1 3H-PF-562271-10,3.4145175552860707e-15,1.3355885417501466e-11,NR4A2;NR4A3;IL8;GADD45A;MAFF;CXCL1;ANGPTL4;HBEGF,
renal medullary carcinoma,reversal,LINCS_L1000_Chem_Pert_down,3,LJP006 HME1 3H-CGP-60474-0.37,1.935051233691727e-14,4.6156200199629917e-11,NR4A2;NR4A3;IL8;GADD45A;MAFF;ANGPTL4;CXCL2;HBEGF,
renal medullary carcinoma,reversal,LINCS_L1000_Chem_Pert_down,4,LJP006 HME1 3H-alvocidib-1.11,2.3600255758471134e-14,4.6156200199629917e-11,NR4A2;NR4A3;IL8;GADD45A;MAFF;CXCL1;CXCL2;HBEGF,
renal medullary carcinoma,reversal,LINCS_L1000_Chem_Pert_down,5,LJP005 HS578T 3H-TWS-119-10,4.9421665282106974e-14,7.732513750038457e-11,NR4A3;IL8;GADD45A;MAFF;CXCL1;DHRS2;HBEGF,
renal medullary carcinoma,reversal,LINCS_L1000_Chem_Pert_down,6,LJP006 HME1 3H-alvocidib-0.37,8.368284206467981e-14,8.930030457738144e-11,NR4A2;NR4A3;IL8;GADD45A;MAFF;CXCL1;CXCL2;HBEGF,
renal medullary carcinoma,reversal,LINCS_L1000_Chem_Pert_down,7,LJP006 HME1 3H-alvocidib-3.33,8.368284206467981e-14,8.930030457738144e-11,NR4A2;NR4A3;IL8;GADD45A;MAFF;CXCL1;CXCL2;HBEGF,
renal medullary carcinoma,reversal,LINCS_L1000_Chem_Pert_down,8,LJP006 MCF10A 3H-canertinib-1.11,9.132077676326876e-14,8.930030457738144e-11,NR4A2;NR4A3;IL8;MAFF;CXCL1;CXCL2;HBEGF,
renal medullary carcinoma,reversal,LINCS_L1000_Chem_Pert_down,9,LJP006 HME1 3H-canertinib-0.37,3.2221330313645347e-12,2.800749633818306e-09,NR4A2;IL8;MAFF;CXCL1;ANGPTL4;HBEGF,
renal medullary carcinoma,reversal,LINCS_L1000_Chem_Pert_down,10,LJP005 MCF10A 3H-trametinib-10,1.0211794902414892e-11,7.825191102516964e-09,NR4A2;CEACAM1;NR4A3;IL8;MAFF;HBEGF,
renal medullary carcinoma,reversal,LINCS_L1000_Chem_Pert_down,11,LJP006 HME1 3H-CGP-60474-0.12,1.1003080931571853e-11,7.825191102516964e-09,NR4A2;NR4A3;IL8;GADD45A;MAFF;CXCL2;HBEGF,
renal medullary carcinoma,reversal,LINCS_L1000_Chem_Pert_down,12,LJP006 HME1 3H-GSK-1059615-10,3.5842273009908554e-11,2.3366175146376215e-08,NR4A3;IL8;MAFF;CXCL1;CXCL2;HBEGF,
renal medullary carcinoma,reversal,LINCS_L1000_Chem_Pert_down,13,LJP006 HME1 3H-alvocidib-10,4.986362622894194e-11,2.742880685168667e-08,IL8;GADD45A;MAFF;CXCL1;CXCL2;HBEGF,
renal medullary carcinoma,reversal,LINCS_L1000_Chem_Pert_down,14,LJP006 MDAMB231 3H-alvocidib-3.33,4.986362622894194e-11,2.742880685168667e-08,NR4A2;IL8;GADD45A;MAFF;CXCL1;HBEGF,
renal medullary carcinoma,reversal,LINCS_L1000_Chem_Pert_down,15,LJP006 HME1 3H-AZD-7762-3.33,5.259262466768504e-11,2.742880685168667e-08,IL8;MAFF;CXCL1;CXCL2;DHRS2;HBEGF,
renal medullary carcinoma,reversal,LINCS_L1000_Chem_Pert_down,16,LJP005 HS578T 3H-WH-4-025-3.33,6.527255335893019e-11,3.191419905793193e-08,NR4A3;IL8;GADD45A;MAFF;HBEGF,
renal medullary carcinoma,reversal,LINCS_L1000_Chem_Pert_down,17,LJP006 HME1 3H-CGP-60474-10,7.170791633509404e-11,3.299829585232004e-08,NR4A3;IL8;MAFF;CXCL1;CXCL2;HBEGF,
renal medullary carcinoma,reversal,LINCS_L1000_Chem_Pert_down,18,LJP006 HME1 3H-dasatinib-3.33,9.627551564952967e-11,4.184240882923726e-08,IL8;GADD45A;MAFF;CXCL1;CXCL2;HBEGF,
renal medullary carcinoma,reversal,LINCS_L1000_Chem_Pert_down,19,LJP006 HME1 3H-BMS-387032-3.33,1.109636587445289e-10,4.56878264399184e-08,NR4A3;IL8;GADD45A;MAFF;CXCL2;HBEGF,
renal medullary carcinoma,reversal,LINCS_L1000_Chem_Pert_down,20,LJP006 HME1 3H-AS-605240-0.37,1.5019331102934326e-10,5.874811360912761e-08,NR4A2;NR4A3;IL8;CXCL1;HBEGF,
renal medullary carcinoma,reversal,LINCS_L1000_Chem_Pert_down,21,LJP006 HME1 3H-canertinib-10,1.6663660884197594e-10,6.20761043319418e-08,CEACAM1;IL8;MAFF;CXCL1;CXCL2;HBEGF,
renal medullary carcinoma,reversal,LINCS_L1000_Chem_Pert_down,22,LJP006 HME1 3H-CGP-60474-3.33,1.8172630619495575e-10,6.451818118454556e-08,NR4A3;IL8;GADD45A;MAFF;CXCL2;HBEGF,
renal medullary carcinoma,reversal,LINCS_L1000_Chem_Pert_down,23,LJP006 HME1 3H-A443654-1.11,1.8968658663486487e-10,6.451818118454556e-08,NR4A2;IL8;MAFF;CXCL1;CXCL2;HBEGF,
