gene,source,value,v25_quoted,pct_all_genes,pct_expressed_genes,top_1pct_of_expressed
BCL2,"GSE216053 (TPM, PM154 control)",34.281,34.3,88.62,79.71,False
BCL2,"GSE216052 (TPM, PM154 WT)",32.478,34.3,87.24,77.62,False
BCL2,"GSE199274 (RPKM, MDVr mean)",0.289,34.3,45.54,42.53,False
EZH2,"GSE216053 (TPM, PM154 control)",39.701,39.7,89.91,82.03,False
EZH2,"GSE216052 (TPM, PM154 WT)",46.084,39.7,90.48,83.29,False
EZH2,"GSE199274 (RPKM, MDVr mean)",10.682,39.7,80.51,79.51,False
DNMT1,"GSE216053 (TPM, PM154 control)",123.624,123.6,96.96,94.59,False
DNMT1,"GSE216052 (TPM, PM154 WT)",155.896,123.6,97.46,95.54,False
DNMT1,"GSE199274 (RPKM, MDVr mean)",20.439,123.6,89.13,88.63,False
PARP1,"GSE216053 (TPM, PM154 control)",267.204,267.0,98.77,97.8,False
PARP1,"GSE216052 (TPM, PM154 WT)",187.255,267.0,97.95,96.41,False
PARP1,"GSE199274 (RPKM, MDVr mean)",75.154,267.0,97.95,97.96,False
PARP2,"GSE216053 (TPM, PM154 control)",45.32,45.0,90.97,83.91,False
PARP2,"GSE216052 (TPM, PM154 WT)",46.276,45.0,90.54,83.4,False
PARP2,"GSE199274 (RPKM, MDVr mean)",13.431,45.0,83.73,82.92,False
RB1,"GSE216053 (TPM, PM154 control)",2.723,2.7,67.35,41.83,False
RB1,"GSE216052 (TPM, PM154 WT)",2.919,2.7,66.0,40.35,False
RB1,"GSE199274 (RPKM, MDVr mean)",11.099,2.7,81.09,80.13,False
AURKA,"GSE216053 (TPM, PM154 control)",61.037,,93.18,87.85,False
AURKA,"GSE216052 (TPM, PM154 WT)",72.519,,93.93,89.34,False
AURKA,"GSE199274 (RPKM, MDVr mean)",6.871,,73.97,72.6,False
