candidate,disease,p0,p1,design,required_n,incidence_arm,us_cases_per_year,trial_eligible_per_year,capture_fraction,accrued_per_year,years_to_accrue
CXCR1/CXCR2 antagonist,renal medullary carcinoma,0.05,0.25,A'Hern,16,SEER-derived (Haupt 2023),15.6,7.8,0.05,0.39,40.9
CXCR1/CXCR2 antagonist,renal medullary carcinoma,0.05,0.25,Simon minimax,16,SEER-derived (Haupt 2023),15.6,7.8,0.05,0.39,40.9
CXCR1/CXCR2 antagonist,renal medullary carcinoma,0.05,0.25,Simon optimal,17,SEER-derived (Haupt 2023),15.6,7.8,0.05,0.39,43.5
CXCR1/CXCR2 antagonist,renal medullary carcinoma,0.05,0.25,A'Hern,16,SEER-derived (Haupt 2023),15.6,7.8,0.1,0.78,20.5
CXCR1/CXCR2 antagonist,renal medullary carcinoma,0.05,0.25,Simon minimax,16,SEER-derived (Haupt 2023),15.6,7.8,0.1,0.78,20.5
CXCR1/CXCR2 antagonist,renal medullary carcinoma,0.05,0.25,Simon optimal,17,SEER-derived (Haupt 2023),15.6,7.8,0.1,0.78,21.7
CXCR1/CXCR2 antagonist,renal medullary carcinoma,0.05,0.25,A'Hern,16,SEER-derived (Haupt 2023),15.6,7.8,0.25,1.95,8.2
CXCR1/CXCR2 antagonist,renal medullary carcinoma,0.05,0.25,Simon minimax,16,SEER-derived (Haupt 2023),15.6,7.8,0.25,1.95,8.2
CXCR1/CXCR2 antagonist,renal medullary carcinoma,0.05,0.25,Simon optimal,17,SEER-derived (Haupt 2023),15.6,7.8,0.25,1.95,8.7
CXCR1/CXCR2 antagonist,renal medullary carcinoma,0.05,0.25,A'Hern,16,SEER-derived x2 (under-ascertainment),31.3,15.6,0.05,0.78,20.5
CXCR1/CXCR2 antagonist,renal medullary carcinoma,0.05,0.25,Simon minimax,16,SEER-derived x2 (under-ascertainment),31.3,15.6,0.05,0.78,20.5
CXCR1/CXCR2 antagonist,renal medullary carcinoma,0.05,0.25,Simon optimal,17,SEER-derived x2 (under-ascertainment),31.3,15.6,0.05,0.78,21.7
CXCR1/CXCR2 antagonist,renal medullary carcinoma,0.05,0.25,A'Hern,16,SEER-derived x2 (under-ascertainment),31.3,15.6,0.1,1.56,10.2
CXCR1/CXCR2 antagonist,renal medullary carcinoma,0.05,0.25,Simon minimax,16,SEER-derived x2 (under-ascertainment),31.3,15.6,0.1,1.56,10.2
CXCR1/CXCR2 antagonist,renal medullary carcinoma,0.05,0.25,Simon optimal,17,SEER-derived x2 (under-ascertainment),31.3,15.6,0.1,1.56,10.9
CXCR1/CXCR2 antagonist,renal medullary carcinoma,0.05,0.25,A'Hern,16,SEER-derived x2 (under-ascertainment),31.3,15.6,0.25,3.91,4.1
CXCR1/CXCR2 antagonist,renal medullary carcinoma,0.05,0.25,Simon minimax,16,SEER-derived x2 (under-ascertainment),31.3,15.6,0.25,3.91,4.1
CXCR1/CXCR2 antagonist,renal medullary carcinoma,0.05,0.25,Simon optimal,17,SEER-derived x2 (under-ascertainment),31.3,15.6,0.25,3.91,4.3
CXCR1/CXCR2 antagonist,renal medullary carcinoma,0.1,0.3,A'Hern,25,SEER-derived (Haupt 2023),15.6,7.8,0.05,0.39,63.9
CXCR1/CXCR2 antagonist,renal medullary carcinoma,0.1,0.3,Simon minimax,25,SEER-derived (Haupt 2023),15.6,7.8,0.05,0.39,63.9
CXCR1/CXCR2 antagonist,renal medullary carcinoma,0.1,0.3,Simon optimal,29,SEER-derived (Haupt 2023),15.6,7.8,0.05,0.39,74.2
CXCR1/CXCR2 antagonist,renal medullary carcinoma,0.1,0.3,A'Hern,25,SEER-derived (Haupt 2023),15.6,7.8,0.1,0.78,32.0
CXCR1/CXCR2 antagonist,renal medullary carcinoma,0.1,0.3,Simon minimax,25,SEER-derived (Haupt 2023),15.6,7.8,0.1,0.78,32.0
CXCR1/CXCR2 antagonist,renal medullary carcinoma,0.1,0.3,Simon optimal,29,SEER-derived (Haupt 2023),15.6,7.8,0.1,0.78,37.1
CXCR1/CXCR2 antagonist,renal medullary carcinoma,0.1,0.3,A'Hern,25,SEER-derived (Haupt 2023),15.6,7.8,0.25,1.95,12.8
CXCR1/CXCR2 antagonist,renal medullary carcinoma,0.1,0.3,Simon minimax,25,SEER-derived (Haupt 2023),15.6,7.8,0.25,1.95,12.8
CXCR1/CXCR2 antagonist,renal medullary carcinoma,0.1,0.3,Simon optimal,29,SEER-derived (Haupt 2023),15.6,7.8,0.25,1.95,14.8
CXCR1/CXCR2 antagonist,renal medullary carcinoma,0.1,0.3,A'Hern,25,SEER-derived x2 (under-ascertainment),31.3,15.6,0.05,0.78,32.0
