"gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"TSPAN6",-0.233463425262198,5.74310473177704,-0.598569810512405,0.554365722303277,0.698914177544669,-7.27021235211496
"DPM1",0.160659137816222,4.75346492487133,0.716286697459679,0.479862204173789,0.63653305702322,-7.06503583232011
"SCYL3",-0.558078421879806,3.54756551310766,-2.68948205423228,0.0120259042871817,0.0466274940301185,-3.87740461526945
"C1orf112",0.809523593423931,2.43564762304267,2.45185491244342,0.0208447600295679,0.0708671377068181,-4.02102250227097
"FGR",-0.907970155374921,2.40026066412576,-1.25680768353392,0.219409368597379,0.379895900671534,-6.1925488247582
"CFH",-0.140197691376994,5.14563031116723,-0.149450071663359,0.882290754042881,0.929674229616978,-7.39466227045384
"FUCA2",0.851716416232766,6.23654618955487,2.67759989348512,0.0123675645440738,0.0475979131812981,-4.14450410807095
"GCLC",2.65886807476935,6.72661611366802,4.32492712467438,0.000180966137742207,0.00166439956976244,0.0186537174706976
"NFYA",0.134102205900548,4.77625426205107,0.482384068155558,0.633356223225205,0.759425848745778,-7.21811289088202
"STPG1",-0.49267822717046,2.90360879389507,-1.55483595149723,0.131436347377323,0.269407342567147,-5.84698670934873
"NIPAL3",-0.00683225594148084,4.92429596171857,-0.0184110268157745,0.985444081974972,0.990940030898405,-7.35331671217046
"LAS1L",0.0585475257521828,4.9708792786174,0.319484304721619,0.751777252431261,0.843403389498602,-7.31703429628759
"ENPP4",-0.38262263106116,4.61310393775349,-1.3083111974667,0.201613627973579,0.359157742562304,-6.4970602840287
"SEMA3F",-0.923076978609182,4.78848374609915,-2.29978751555764,0.0292827894389345,0.0915539573430868,-4.92426935982524
"CFTR",-1.77686534362715,-0.496805082098381,-2.87058496974874,0.00779873824231008,0.0336140129611481,-2.98655454474555
"ANKIB1",0.570591615827553,5.75196038322783,3.35861333203202,0.00231066010030084,0.0128542267377221,-2.53688194612318
"CYP51A1",-0.86210148471059,5.43183120184691,-2.3786194768353,0.0245826462527748,0.0802947345040844,-4.80516817494918
"KRIT1",0.181145696573317,5.19773013021142,0.997357507937372,0.327299163117871,0.497700874585887,-6.87969452672546
"RAD52",-0.307923648076673,3.43198645433914,-1.13220429522997,0.267338808933718,0.434082649077302,-6.4896032808131
"MYH16",1.58059060177077,-2.34821493449863,1.85942787954652,0.0737126983853437,0.179480994800638,-4.52625413981508
"BAD",-0.0702360160324202,4.60590958106608,-0.26603439153538,0.792200079731179,0.87126498245129,-7.30262728149002
"LAP3",-0.263376030531538,5.76151194301367,-0.628640716987545,0.534778918955183,0.68260793785173,-7.2562745303133
"CD99",1.06440976618577,5.25221052088203,3.71716557780684,0.00091249404630826,0.00610930534162702,-1.52486305142072
"HS3ST1",0.975969874567721,3.80824024596655,1.25203210615001,0.221118000916445,0.381886917581224,-6.24005288035531
"AOC1",-3.55658685832472,4.40505775817805,-2.55877188290524,0.0163191632719302,0.0588694616823039,-4.39801083612252
"WNT16",0.0834719440071404,-2.63758103099673,0.145218665431019,0.885598925256684,0.931693261463628,-6.24285377739729
"HECW1",-5.03322549947364,-1.49650459332346,-6.98853273536293,1.49248563646603e-07,4.32705287300067e-06,7.45057284695045
"MAD1L1",1.00840067377718,3.90273634314567,3.08546365626665,0.00460171184789445,0.0222452374161662,-2.83941424407971
"LASP1",1.28547110917044,7.83536284044734,5.43434379761093,9.00760328539233e-06,0.000143035024944245,2.87897249164338
"SNX11",-0.466368817762728,4.1020025941973,-2.07144541358084,0.0478320836538658,0.131643690301165,-5.23520501177603
"TMEM176A",-1.99695872052996,4.79313767365545,-1.84919260136777,0.0752227684829049,0.182072647316858,-5.79151309665807
"M6PR",0.905091952840929,6.99064578018224,4.66329152636634,7.2582601569686e-05,0.000790527617386949,0.802344500179137
"KLHL13",-0.211490253816997,4.37379864011759,-0.329325745416409,0.744408314758269,0.839032376438603,-7.25063998393598
"CYP26B1",-1.07725580147565,2.0220466215339,-1.78341676765502,0.085576315288642,0.199627723029537,-5.37082751992464
"ICA1",-0.93709647351289,4.14885859212974,-2.54681290172559,0.0167759186352604,0.0601560989172782,-4.34843276858642
"DBNDD1",1.15739171572748,4.05885213109351,1.38492673891445,0.177224599493225,0.329640689239509,-6.11284958447907
"ALS2",0.411935896877987,5.29149342885281,1.5251670850537,0.138653567374986,0.279609316581275,-6.22393891157656
"CASP10",0.390649877942948,4.51655987531078,0.840885386756037,0.407675116402692,0.573637405127193,-6.89500950612718
"CFLAR",0.0640385530085419,7.46313112080524,0.275147495556367,0.785262700462313,0.866349190645572,-7.42479746493095
"TFPI",0.297371992069052,5.66082888091885,0.521986374967937,0.605865330741056,0.738282342666131,-7.28208968200809
"NDUFAF7",0.79677407666138,4.59856661563831,3.07057934470195,0.00477506582987785,0.0228619122376999,-3.05222104489086
"RBM5",-0.678735646252814,7.15475185553346,-3.6638733773498,0.00104918347083801,0.0068488808192817,-1.82078538451165
"MTMR7",-0.343954332218858,0.986100356798367,-0.934076165035315,0.35840628567545,0.527283402247606,-6.26407004609219
"SLC7A2",-1.35917118412171,3.94664295063838,-1.74730757021343,0.0917606221597408,0.209742565544986,-5.839679143377
"ARF5",0.145059701302854,6.37786336470383,0.981354167169973,0.334985929650931,0.505154285458173,-6.97724970396544
"SARM1",-0.247732119802356,3.96320184260009,-0.526098028055111,0.603043664825099,0.736281481549484,-7.10418189049236
"POLDIP2",-0.148700248576927,6.5419315577673,-0.706187244364109,0.486020691273758,0.641772385533032,-7.21791726064971
"PLXND1",0.0327336121726613,5.89806798291003,0.0677224746652183,0.946497274646435,0.96674441733367,-7.44802671753907
"AK2",-0.157456146326149,6.9759953467867,-0.815067889028901,0.422046778744024,0.586781082333982,-7.1321152808973
"CD38",1.1258448338538,1.584643641229,0.812101363186247,0.423717999323854,0.58848558083865,-6.33608199470192
"FKBP4",-0.212199698690546,6.61401567387298,-0.88099762726631,0.385965387343315,0.553960797714273,-7.07839766414512
"KDM1A",0.317205710203748,5.77640822298201,1.77562505258717,0.0868798605713805,0.201684428885045,-5.8893992110661
"RBM6",-0.568244120911755,6.62116514910179,-2.18460417104222,0.0376225610203217,0.110053920533004,-5.2014283811222
"CAMKK1",-0.870054346467602,2.04167488493091,-1.26027062196002,0.218176648800084,0.378321539050464,-6.12065148873761
"RECQL",1.37750084065098,5.05776091054196,4.96255448705502,3.22687862106062e-05,0.000409168937565525,1.84670943066124
"VPS50",-0.261798589931947,4.37486921574393,-1.38500098888319,0.177202139516001,0.329626938450581,-6.36211034973397
"HSPB6",-3.09622133220949,1.68278224141055,-5.28129470776037,1.36168186024476e-05,0.0001997103767483,2.80524508596017
"ARHGAP33",-0.572233705148727,3.55497802988229,-1.83618686096374,0.0771799613534707,0.185333933124088,-5.56583714347375
"NDUFAB1",-0.0886262242774792,5.29240111008903,-0.291638620451058,0.772754797399617,0.857332490996121,-7.37417838875921
"PDK4",-1.82327983086216,6.79623060966909,-2.45088150758923,0.0208908159600942,0.0709807566622345,-4.64460609819364
"ZMYND10",-0.262308741723635,0.918684928453821,-0.669160167285366,0.508980738975911,0.661660330100755,-6.46291384656562
"ARX",3.01542582698811,-1.4563029954896,1.39691216569138,0.17362799770532,0.3248603114698,-5.20513569366254
"SLC25A13",0.0768202796203659,4.98580345846499,0.316860788663262,0.753745724928506,0.844641798085811,-7.32736683251409
"ST7",-0.0473852425885602,4.43750003974469,-0.165051119841389,0.870112816016833,0.922283463679697,-7.29596062344597
"CDC27",0.806553469400499,5.81596783045459,5.53735839039361,6.82444251068848e-06,0.000114006244440639,3.21467570994335
"SLC4A1",-9.88558146008344,-0.590405255550306,-20.3358600087965,4.33346090554165e-18,4.23341448202675e-15,30.8095464914363
"CALCR",-2.70417558260752,-0.580915721155044,-2.6332883252655,0.0137232598128187,0.0516409185620872,-3.54377066725609
"HCCS",-0.140228566390248,4.04040740165547,-0.628150032510575,0.535095549165299,0.682895711359485,-7.03525384674728
"DVL2",0.670890641409917,5.27595845202139,3.10293522460919,0.00440589067393653,0.0214881609621619,-3.0884774254994
"PRSS22",-6.07875660952271,-1.77998606049797,-6.54216198118553,4.73510900402641e-07,1.1847791114863e-05,6.32220417240268
"UPF1",-0.147595942030639,6.37307557623626,-1.06749956467426,0.295041833279813,0.464041365810172,-6.89497138479271
"SKAP2",0.485720264625018,5.61433991263684,1.65722772371628,0.108856708339675,0.236845296764226,-6.05180221408282
"SLC25A5",-1.31488062770969,7.15645307847194,-5.78703913391858,3.491209336566e-06,6.5533820036175e-05,3.83910075644667
"MCUB",2.52612091426273,3.01892913801884,2.4313727748089,0.0218338027655999,0.0734077082657884,-4.00033702334854
"HOXA11",1.41359010839447,2.99627539018479,1.60471090800726,0.119998499941706,0.253406606690809,-5.55503045540397
