"gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"MIR6723",0.228993983790873,1.73805602285626,0.48765866469172,0.637450545375714,0.814065961414743,-6.61120855133637
"LOC100288069",-0.0795791065586108,1.04580571904289,-0.662603944767097,0.507585591658314,0.726805725986674,-6.52328739385346
"LINC01128",-0.218862480696832,0.947560673570115,-1.87444957267517,0.0608710586074251,0.200649635682112,-5.00711032869222
"LOC100130417",-0.52313491270404,4.49553026699046,-2.14966679514425,0.031583692441944,0.125414923413899,-4.46095128093801
"SAMD11",-0.216400223291119,4.42322904396936,-0.89532507758159,0.370615241588143,0.613482564091832,-6.34449193501741
"NOC2L",-0.771043942199693,5.66034607485371,-2.91043808207791,0.00360992758255163,0.0236933275136487,-2.56255608845732
"KLHL17",-0.49131059339962,4.96784729781391,-1.94049245724694,0.0523223487604837,0.180312186278939,-4.88286302555775
"PLEKHN1",-0.117930070549689,3.74233159488344,-0.525850177839888,0.598993337457667,0.789083255354661,-6.60343576738173
"PERM1",-0.168369364909036,2.43934338796897,-0.959346295576562,0.337386368492306,0.580075879799151,-6.28593694718869
"HES4",-0.459285724512653,4.66457466602546,-1.85901054926851,0.0630282352764667,0.205392710761073,-5.03553558154496
"ISG15",-0.192491558914363,5.96455992436083,-0.714371799312655,0.474998777810695,0.701953796384093,-6.48813463210401
"AGRN",-0.435820303245168,5.95112916407619,-1.61858626246534,0.10553909782256,0.293327353391528,-5.44785193425655
"RNF223",-0.572498850477295,1.80799569907929,-3.83399417805589,0.000126147289460593,0.00153055467308889,0.509164229413393
"C1orf159",-0.0551946815503414,3.18097104683513,-0.268322912137623,0.788451260090072,0.902488735127229,-6.70429400567957
"MIR200B",-0.0618506971316916,2.00904642049754,-0.143093952838497,0.889368376719256,0.95099278776295,-6.72859238689459
"MIR200A",-0.59104029162386,2.31580022990397,-3.26781566886797,0.00126610290897507,0.0101530317404234,-1.58055757609149
"MIR429",-1.01663181997429,3.30215233539769,-4.83575334185589,1.32844482480799e-06,3.13005482878915e-05,4.79082593415056
"TNFRSF18",-0.101589185036467,2.17790938714118,-0.616974758831242,0.537252615147874,0.747259827967119,-6.55208011545928
"SDF4",-0.333393597379237,6.93645544526763,-1.1811597100435,0.237541764062665,0.476294896483897,-6.05179606415946
"B3GALT6",-0.397678362241156,5.2873487141459,-1.53549167343304,0.124665894696409,0.323678556968679,-5.57709824601083
"FAM132A",-0.0510334295086832,1.11477011157992,-0.416599095921746,0.676972460366902,0.839859358484604,-6.65421156153731
"UBE2J2",-0.127772368892375,5.15403621981178,-0.497840188010088,0.618597654308049,0.803542304899567,-6.61757593511865
"SCNN1D",-0.561347962658569,3.52546829001475,-2.57729102380496,0.00995906017509594,0.0531481002011184,-3.46413063416682
"ACAP3",0.011997394550601,5.76728376839187,0.0450109086425258,0.96409869329636,0.984984721852643,-6.73879982441176
"PUSL1",-0.181868023509475,4.1259884530582,-0.775417667623729,0.438094517877649,0.673851494368774,-6.44328548701517
"CPSF3L",-0.345578683535933,5.35843938054003,-1.32823930257402,0.184101741300904,0.410849256659805,-5.86978611226618
"MIR6727",-0.790940195981832,2.32051522627424,-1.81747388382001,0.102462260486357,0.286930817146526,-5.20162101337155
"CPTP",1.01172060349301,4.39034698949118,4.19910012575007,2.68182270137588e-05,0.000401774340653886,1.95551878302708
"TAS1R3",-0.0321971258287147,1.18490502167074,-0.257601580752161,0.79671487770337,0.906862793841196,-6.70707464788774
"DVL1",-0.477751236052686,6.18712289961643,-1.75230075806628,0.0797248121409798,0.241885118485124,-5.22557434325773
