"gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"FBXO47",0.200225621661863,0.145553080691544,0.970854463402391,0.336887964356973,0.769457008330569,-5.59011352123319
"CDR2",-0.175734476007413,6.94988548314303,-0.580044090334476,0.564821394926858,0.875833152306492,-5.87839536084509
"CD72",0.0254414078572494,3.50456591564312,0.0297243538566596,0.976420966285496,0.996360416253903,-6.03978281714344
"CD63",-0.739601817197878,10.7229241593128,-2.34519987750416,0.0235790785745906,0.309858243219522,-3.54560703169877
"CD69",1.08171525907041,3.17214300569881,1.09377845376137,0.279989092200481,0.729281046984046,-5.47058816672425
"WDR65",-1.07257294803525,2.90834958360142,-1.09692309653076,0.278627110052257,0.728400611849481,-5.46735430834151
"AFF1",0.21654663891528,8.99724990659888,0.792450913226411,0.432335357347944,0.819877598338151,-5.73920608479559
"BMP6",-1.48851588786543,5.98477033803401,-1.88913838541237,0.0654579539768468,0.45856347274463,-4.38657469339477
"AUH",-0.529977485467164,6.17692926852765,-1.53436849726736,0.13204525264662,0.581724278546527,-4.93417269369173
"PRSS8",1.60676531931552,6.11453585283176,1.50721976118784,0.138883028733899,0.590074187671326,-4.9719800264174
"ATP1B1",0.482375039103418,10.3799397978939,1.18217209146941,0.243470770579769,0.701965207151817,-5.37636278770088
"MAP2K1",-0.454082235718134,8.23535385419382,-2.02550985086024,0.0488605362595523,0.410952504133484,-4.1503084564176
"ACTR3C",0.753519683068774,2.90269687660574,1.11837448094488,0.269445139228612,0.721735486252072,-5.44507235610005
"AREG",0.901328719932455,1.99000593705728,1.00743391998617,0.319220656540755,0.758299428726823,-5.55594272453409
"PPP4C",-0.0204217416031058,9.55935687023467,-0.064413973284545,0.948931626199751,0.989734360611482,-6.03820587192782
"SLC41A3",-0.033058820317112,7.48727671444558,-0.0990341940595705,0.921559287147977,0.984123099384241,-6.03547378189306
"POLR2E",-0.606416363872117,9.42346005469075,-2.70084283134816,0.00975922085782683,0.21876218996176,-2.79379953004632
"IRAK2",-0.681023511478663,2.31542233112732,-1.06855399642076,0.291064618458113,0.737841359147656,-5.49622625455064
"HNRNPL",-0.297243339269046,11.6632444864818,-1.51126130125236,0.13781757946237,0.588802893402389,-4.96637218436116
"PIM1",-0.408969952702411,10.0202491018179,-1.0885723566018,0.282254186854683,0.730631925595735,-5.4759226917126
"CXCL1",0.613917776475882,5.22820755053037,0.805704219455498,0.424735454039013,0.817179699863074,-5.72912753124071
"CC2D2B",1.10334018790038,1.1197460064757,1.93663941732727,0.0592113455032886,0.442426152715305,-4.30590899296699
"SCNN1A",-1.87788992292419,6.9473529969629,-1.65542804944412,0.10493597706697,0.542869483946058,-4.75846042044282
"PDE6G",-0.508568310196585,3.28452998346985,-0.587660481863861,0.559756618654364,0.873129662661074,-5.87412047120603
"PFDN4",-0.118274436218878,10.0830243908451,-0.371251763875396,0.71222718315442,0.927488969405745,-5.97375894969405
"FOXF1",-1.89965005654413,4.05935713045671,-2.7903520318884,0.00774833760318469,0.196322678223445,-2.59386864689452
"PCK1",-0.0938425584315812,1.88876672199922,-0.106075273912664,0.916003549212423,0.983379892515323,-6.03477640560575
"FAT2",-0.0738765552841103,0.732298841668099,-0.158983431530899,0.874407589968544,0.972947645148228,-6.02800698196444
"GPX8",0.55092209331359,4.2646395389158,0.627964643984419,0.533264801486363,0.862169156223701,-5.8506674878879
"P2RX1",-0.913631881306613,1.80100989030649,-1.09151118412387,0.280973972181748,0.729341744563185,-5.47291432166551
"OPCML",1.15339386598324,1.89270366605792,1.39878533889689,0.168869219474674,0.628411002417205,-5.11680924869544
"CDRT15",0.0756451671967057,0.55090304867302,0.220186800033502,0.826741535693817,0.959945200524855,-6.01680994245692
"LMBRD2",-0.384421080331085,8.06112103437149,-1.1133258338148,0.2715985032533,0.724053833740248,-5.45034426106767
"NDUFA2",-0.246871681667626,8.36150840138749,-0.917110307028848,0.364050310528193,0.78500912459292,-5.63808581061495
"PPP1R12B",-0.367042210350353,5.55916270755027,-0.707646427634004,0.482881349931661,0.841378538299671,-5.79982394613071
"DSCAM",-4.15532428310136,3.94937847770223,-3.27867224664816,0.00203946734478531,0.105428387119969,-1.42449609759195
"TCF7L2",-0.284626964289382,4.62280889402523,-0.273126320859571,0.786030771472542,0.948544617018902,-6.00421662028043
"NEK3",-0.0825396704632877,6.61735943249183,-0.131870719100822,0.895686198243284,0.979089032887903,-6.03181328475806
"OR56A5",-0.323864640363705,5.71225219367715,-0.361912131756129,0.719145659700263,0.92991460558391,-5.97705514429393
"CALU",-0.769793050706754,10.039800788612,-3.17121885998517,0.0027561394322353,0.120387766621708,-1.69062709311939
"EI24",-0.0138438471090629,10.3776023943725,-0.0536213422747233,0.957478929636635,0.992028773792788,-6.03882102378107
"RPS26",0.146155534582009,12.2098714208377,0.419124670081832,0.677158996469489,0.914373101959864,-5.95555463464967
"CPN1",-0.0182184268745871,0.402318437880278,-0.0496208329523244,0.960648544494215,0.992540056181081,-6.03902046403427
"GEMIN7",0.264458552857342,5.20586395577102,0.523671935539958,0.603114829304713,0.887767022319901,-5.90822195318265
"SPIN2B",-1.77472179368211,4.8464433605642,-3.15051037048565,0.0029195708627314,0.125298013749718,-1.7414008882824
"AP1S1",-0.162933465358865,7.77243948087469,-0.464903218145231,0.64428753481116,0.903862240298203,-5.93610223437031
"TBCB",-0.00699390786201803,8.5169233603166,-0.0210761990903939,0.98327991848139,0.997869142869335,-6.03999497627892
"DEFB4B",0.585781312137565,0.342795878402225,2.47981881721739,0.0170144971587263,0.27332660911853,-3.26992244228013
"CDSN",-0.430467079003432,0.483376734911534,-1.10817310309817,0.273792804202754,0.724656714539487,-5.45571341619241
"SLC25A25",-0.630289673159393,8.09680846826029,-2.07018502865188,0.0443173880999145,0.395164640478305,-4.07023949962462
"RGS6",-0.598241601605271,1.95181267382885,-0.733111047335885,0.467368872542224,0.834882549302133,-5.78231784203397
"LOC100287036",-0.228390898599178,0.295556826888743,-0.718663629798332,0.476137860568887,0.838734844233549,-5.79232062148121
"FAM24B",-1.70715781852784,4.9818527860774,-2.34187877499799,0.0237658343936439,0.310928859784012,-3.55224608273067
"HIST1H4B",-0.497656535351928,11.1881659152534,-1.15199053878253,0.255530194753033,0.710325428349976,-5.40930825639677
"CUL3",-0.0651379814956812,9.5935583217411,-0.313814964910105,0.755133443041873,0.940572366879791,-5.99271237859895
"SLC7A5",0.614949881950068,7.42082638241108,0.8807491921632,0.383227138619792,0.795707577379442,-5.66903432450803
"RASSF7",0.757811249085269,6.02404429685632,1.83232179907625,0.0736256368334183,0.479511739952651,-4.48071786693241
"HIST1H2BE",-0.159762923029854,10.5627357566645,-0.235883122841058,0.814615138720011,0.95565216081963,-6.01335719061255
"ACOX2",-0.278426854075168,1.78596483462551,-0.450125065616243,0.6548246676907,0.906539513995871,-5.94259994610792
"RBMY1J",-0.195465663092512,0.115075507242863,-0.993284410127019,0.325961945926235,0.762519473804817,-5.56931863089759
"C18orf32",0.0796158351683345,7.24693876323369,0.210313842905647,0.83439117260087,0.962496166638761,-6.01886023714412
"SUMO1",-0.077360890900426,6.26039232904448,-0.232283169588188,0.81738703393975,0.956120204263197,-6.01417283143229
"MMP13",1.12064321006002,1.57736166543267,1.36028136956478,0.180652008237175,0.641741826832747,-5.16587263471859
"GBA",-0.583673769707034,7.72275692116284,-1.68995570536363,0.0980927055915585,0.529868725451986,-4.70619051968448
"SCGB2A1",0.232756412586851,4.73910405223861,0.170184216782952,0.865643402644884,0.97031544680563,-6.02622763511963
"ZNF174",0.426571116585085,5.89598847661162,0.648941273260119,0.519740801039085,0.856609138104723,-5.8378573853174
"MLL2",-0.446985510745317,9.49853293503065,-1.70367305443504,0.0954699516788165,0.524477871007428,-4.68514606304668
"TBC1D24",-0.159904905462631,7.95508908130278,-0.390314542497996,0.698182461924984,0.922367050232663,-5.96677235981649
