"gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"A1CF",-0.30132414693829,3.3152117257879,-0.415846088379018,0.679474825380388,0.922648236507945,-5.76800897409913
"A2M",-0.0844552490013236,9.6894403950749,-0.351609639075227,0.726751973468848,0.934044198934841,-6.09622289684025
"A2ML1",-0.282785641894189,-1.59374672939535,-0.607189815709438,0.546739195282236,0.882845608984056,-5.08659360041652
"A3GALT2",-0.182263469941616,-2.68108596068412,-0.317485449388008,0.752325709580808,0.940569584726545,-5.14612370547033
"A4GALT",0.669391214429738,2.94656401968125,1.2486550723854,0.218169228396175,0.762766455898159,-5.0810490351576
"A4GNT",-0.428982365338106,0.290099901298969,-0.918452392993394,0.363218825513657,0.824022120198737,-5.02018843625833
"AAAS",0.144305717116894,4.80562322144694,0.523183086569883,0.603382152588031,0.898489108876746,-5.90977672296251
"AACS",-0.165415690755359,2.71918226481167,-0.748118534665752,0.458233021335624,0.855198060310311,-5.48064686166759
"AACSP1",-0.68840111133887,-4.50228826358929,-1.13695693289918,0.26150063972558,0.784132776545846,-4.70274359430336
"AADACL2",-0.151111436373537,-4.09739623968244,-0.210018239733415,0.834589781736437,0.963426098886858,-5.12513888846388
"AADAT",-0.368942822652821,2.29660398752914,-1.51652715604884,0.136294216033018,0.725913350412071,-4.64914154234749
"AAED1",0.0344155994965901,2.18525403750141,0.117047470734141,0.907336875504908,0.979899837789174,-5.6365868683638
"AAGAB",-0.0918050493726571,4.08058526355199,-0.654577652889987,0.516030649571446,0.874199129142669,-5.75752463894946
"AAK1",-0.0548508612151579,5.73737069616419,-0.473690620129962,0.637982543309089,0.910783594908001,-5.99077652343822
"AAMDC",-0.239960077719986,1.25393838442465,-1.29839394311674,0.20068576826746,0.758805106717227,-4.77832144990494
"AAMP",0.276660187607848,4.37035796140856,0.7647178285494,0.448382395846577,0.852042746646776,-5.72108926046865
"AANAT",0.524971009517303,-3.55529270313966,0.822644216092668,0.414995126122623,0.842523795192273,-4.92628342928063
"AAR2",-0.0254050025697693,2.81784895567779,-0.06775154500987,0.946279870112901,0.988983985021198,-5.75446237904681
"AARD",-1.12700183554552,-5.54903665170052,-1.78150224027665,0.0814966831702122,0.69141345928137,-4.11567649101973
"AARS",0.0516834640432203,6.78002694096293,0.315403877923249,0.75389517282537,0.941405047390307,-6.08535035640404
"AARS2",0.151466760994364,2.78893105990947,0.632283290960235,0.530362076058922,0.878654218023773,-5.57127258595575
"AARSD1",-0.000169745932295367,-2.46447428868188,-0.000521523374802755,0.999586161358419,0.999925606996383,-5.18808082314089
"AASDH",-0.05786222859169,4.46485540245862,-0.359131842766792,0.721155490548157,0.932820906724147,-5.94512923786455
"AASDHPPT",-0.181969973569132,2.28550868960929,-1.03665770593635,0.30536613898507,0.803292572671314,-5.17828281114765
"AASS",-0.321272990013882,5.39074222583943,-1.4108198379364,0.16508942214323,0.742651737820584,-5.13558008164539
"AATF",-0.0865785792689426,5.12114577443135,-0.794840296994445,0.430827476855596,0.847495586029253,-5.76025079356371
"AATK",0.208345730710036,-2.0941821126867,0.271296119705779,0.787388715847348,0.951775898020277,-5.17430560323067
"ABAT",-0.284138850437733,3.18710589967725,-1.03247169432425,0.307300714164077,0.80459531249517,-5.32872156148943
