N,gene,framework_novel,survives,in_HPA,in_DepMap
1,BCL2,False,False,True,True
2,AURKA,False,False,True,True
3,EZH2,False,False,True,True
4,DNMT1,False,False,True,True
5,TP53,False,False,False,False
6,PARP1,False,False,True,True
7,AURKA,False,False,True,True
8,ATM,False,False,False,False
9,PIK3CA,False,False,False,True
10,FGFR3,False,False,True,True
11,NECTIN4,False,False,True,True
12,CD274,False,False,False,False
13,CDK4,False,False,False,True
14,KDR,False,False,False,True
15,EPAS1,False,False,True,True
16,CDK4,False,False,False,True
17,CXCL8,True,True,False,False
18,HBEGF,False,False,False,False
19,CEACAM1,True,True,True,True
20,HLA-DRA,False,False,False,False
21,MMP1,False,False,True,False
22,POSTN,False,False,True,False
23,NSD2,True,False,True,True
24,ATR,True,False,True,True
25,UHRF1,False,False,True,False
26,G6PD,False,False,True,True
27,TACSTD2,False,False,True,True
28,CEACAM5,True,True,True,True
29,SSTR2,True,False,True,True
30,PTGS1,False,False,True,True
