context,refit_context,rule,pathway,overlap_k,pathway_size_K,de_set_size_n,universe_N,pvalue,overlap_genes,qvalue_BH
PSCC,PSCC,q<0.05 & logFC>0.5,Cell_Cycle,1,155,3544,30818,0.999999994318712,CDC14A,1.0
PSCC,PSCC,q<0.05 & logFC>0.5,Apoptosis,6,136,3544,30818,0.9989067747996869,BCL2A1; CTSK; CTSS; FOS; ITPR1; TNFSF10,1.0
PSCC,PSCC,q<0.05 & logFC>0.5,HIF1_signaling,13,107,3544,30818,0.46093271591540413,ANGPT1; ANGPT2; CYBB; EGF; EGLN3; FLT1; IFNG; IFNGR1; IGF1; LDHAL6B; PLCG2; PRKCB; TEK,1.0
PSCC,PSCC,q<0.05 & logFC>0.5,VEGF_signaling,3,57,3544,30818,0.9666735450089322,KDR; PLCG2; PRKCB,1.0
PSCC,PSCC,q<0.05 & logFC>0.5,Homologous_Recombination,1,41,3544,30818,0.993343945788275,SYCP3,1.0
PSCC,PSCC,q<0.05 & logFC>0.5,PI3K_AKT_signaling,42,353,3544,30818,0.4315151954273551,ANGPT1; ANGPT2; COL1A1; COL1A2; COL4A1; COL6A3; EGF; ERBB3; FGF7; FLT1; FLT3; GNG2; GNGT1; GYS2; HGF; IBSP; IFNA10; IFNA13; IFNA14; IFNA17; IFNA4; IFNA5; IGF1; IL2; IL2RA; IL2RG; IL7; IL7R; ITGA1; ITGA8; ITGB8; KDR; KIT; LAMA2; LAMA4; LPAR4; LPAR6; PDGFRA; PIK3AP1; PIK3CG; TEK; TNC,1.0
PSCC,PSCC,q<0.05 & logFC>0.5,p53_signaling,1,75,3544,30818,0.9998963095614856,IGF1,1.0
PSCC,PSCC,q<0.05 & logFC>0.5,Chemokine_signaling,26,188,3544,30818,0.18496574175946662,ARRB1; CCL18; CCL2; CCL5; CCR1; CCR2; CCR4; CCR5; CCR8; CXCL10; CXCL11; CXCL13; CXCL14; CXCL8; CXCL9; CXCR4; DOCK2; ELMO1; GNG2; GNGT1; GRK4; ITK; PIK3CG; PLCG2; PRKCB; VAV3,0.8323458379175998
PSCC,PSCC,q<0.05 & logFC>0.5,Cytokine_receptor_interaction,53,291,3544,30818,0.00047799362025410113,ACKR4; BMP5; CCL18; CCL2; CCL5; CCR1; CCR2; CCR4; CCR5; CCR8; CD4; CD40LG; CSF2RA; CXCL10; CXCL11; CXCL13; CXCL14; CXCL8; CXCL9; CXCR4; IFNA10; IFNA13; IFNA14; IFNA17; IFNA4; IFNA5; IFNG; IFNGR1; IFNW1; IL13RA2; IL18RAP; IL1R1; IL1R2; IL2; IL21; IL23R; IL26; IL2RA; IL2RG; IL33R; IL36G; IL36R; IL5; IL5RA; IL7; IL7R; MSTN; TNFRSF19; TNFRSF9; TNFSF10; TNFSF13B; TNFSF15; TNFSF18,0.00430194258228691
PSCC,PSCC,q<0.05 & logFC>0.5,Antigen_processing_presentation,21,79,3544,30818,0.00017209692282678369,CD4; CD74; CTSS; HLA-A; HLA-DMA; HLA-DMB; HLA-DPA1; HLA-DPB1; HLA-DQA1; HLA-DQA2; HLA-DQB1; HLA-DQB2; HLA-DRA; HLA-DRB1; HLA-DRB3; HLA-DRB4; IFNG; KLRC1; KLRC2; KLRC4; KLRD1,0.0030977446108821066
