"context","genes","n_q05","n_p05","method","design","contrast","notes"
"ccRCC_METS",21242,1,1633,"edgeR filterByExpr + TMM + voom + limma","c(""X.Intercept."", ""genderM"", ""metastaticYes"")","metastaticYes","21242 of 57358 genes passed filterByExpr"
"HLRCC",22469,5912,8255,"edgeR filterByExpr + TMM + voom + limma","c(""X.Intercept."", ""groupTumor"")","groupTumor","22469 of 56470 genes passed filterByExpr"
"NEPC_CXCR7",12582,2301,3608,"limma-trend on log2(TPM/RPKM+1), robust eBayes","X.Intercept. + cell_lineLNCaP + treatmentshCXCR7","treatmentshCXCR7","NA of 26473 features passed expression filter; dropped 32 non-finite/constant rows"
"NEPC_DECITABINE",14835,4465,6290,"limma-trend on log2(TPM/RPKM+1), robust eBayes","X.Intercept. + treatmentdecitabine","treatmentdecitabine","14835 of 37788 features passed expression filter"
"NEPC_DNMT",13858,6184,7231,"limma-trend on log2(TPM/RPKM+1), robust eBayes","X.Intercept. + genotypeDNMT1KO + genotypeDNMT3AKO","genotypeDNMT1KO","13858 of 33690 features passed expression filter"
"MIBC_KINOME",489,239,274,"TMM + voom, patient as blocking factor (matched pairs)","c(""X.Intercept."", ""patientPatient.11"", ""patientPatient.12"", ""patientPatient.13"", ""patientPatient.14"", ""patientPatient.15"", ""patientPatient.17"", ""patientPatient.2"", ""patientPatient.23"", ""patientPatient.26"", ""patientPatient.29"", ""patientPatient.3"", ""patientPatient.30"", ""patientPatient.31"", ""patientPatient.33"", ""patientPatient.34"", ""patientPatient.35"", ""patientPatient.36"", ""patientPatient.37"", ""patientPatient.4"", ""patientPatient.5"", ""patientPatient.6"", ""patientPatient.8"", ""patientPatient.9"", ""tissue_grouptumor"")","tissue_grouptumor","489 of 536 genes passed filterByExpr"
"PSCC",67528,13947,23862,"limma-trend with duplicateCorrelation on donor","X.Intercept. + groupTumor","groupTumor","6 normal arrays from 3 donors; duplicateCorrelation consensus 0.947"
"SarcUC",29377,10711,12992,"limma-trend, group only - chip not estimable","X.Intercept. + groupSARC","groupSARC","CONFOUNDED: 19 chips, 0 carry both groups; batch effect cannot be separated from the sarcomatoid/conventional contrast"
"SCBC_ASCL1",20802,290,2430,"limma-trend, batch-adjusted, subtype vs mean of remaining subtypes","subtypeASCL1 + subtypeNEUROD1 + subtypePOU2F3 + subtypeYAP1 + batchBatchB + batchBatchC","ASCL1 vs rest","n=19 of 44"
"SCBC_NEUROD1",20802,15,1538,"limma-trend, batch-adjusted, subtype vs mean of remaining subtypes","subtypeASCL1 + subtypeNEUROD1 + subtypePOU2F3 + subtypeYAP1 + batchBatchB + batchBatchC","NEUROD1 vs rest","n=10 of 44"
"SCBC_POU2F3",20802,177,2513,"limma-trend, batch-adjusted, subtype vs mean of remaining subtypes","subtypeASCL1 + subtypeNEUROD1 + subtypePOU2F3 + subtypeYAP1 + batchBatchB + batchBatchC","POU2F3 vs rest","n=7 of 44"
"SCBC_YAP1",20802,2,1329,"limma-trend, batch-adjusted, subtype vs mean of remaining subtypes","subtypeASCL1 + subtypeNEUROD1 + subtypePOU2F3 + subtypeYAP1 + batchBatchB + batchBatchC","YAP1 vs rest","n=8 of 44"
