context,gene,published_log2FC,published_q,refit_log2FC,refit_P,refit_q,refit_AveExpr,verdict,supports
PSCC,HLA-DRA,9.01,,8.9221,4.8668905314189e-09,2.67503877703762e-05,11.6104545454545,reproduced,penile immune-hot phenotype; pembrolizumab row
PSCC,CXCL9,,,5.3163,0.0005432622749817,0.0106519787761237,8.27636363636364,"direction up, q<0.05",penile immune-hot phenotype
PSCC,CXCL10,,,6.3142,0.0002655025719712,0.0078189523244995,7.85545454545455,"direction up, q<0.05",penile immune-hot phenotype
SarcUC,TACSTD2,-2.06,,-2.0642,5.25396922944751e-22,9.64661587834248e-19,7.35905184872464,reproduced,TROP2-low negative biomarker (row 27)
SarcUC,NSD2,,,,,,,not measured on this platform,framework-novel NSD2 row 23
SarcUC,WHSC1,,,1.2583,6.54880047927557e-16,1.26568494526104e-13,6.39425145165005,"direction up, q<0.05",framework-novel NSD2 row 23 (alias)
SarcUC,ATR,,,0.1775,0.0339641204400024,0.0830846702168365,5.25504541737548,"direction up, not significant",framework-novel ATR row 24
SarcUC,UHRF1,,,1.5519,5.24457396012223e-14,5.62298719804784e-12,6.90856272782316,"direction up, q<0.05",partially novel UHRF1 row 25
SarcUC,G6PD,,,1.3204,7.34714320726818e-13,5.290123186272489e-11,5.43141321504285,"direction up, q<0.05",partially novel G6PD row 26
SCBC_ASCL1,CEACAM5,6.19,,6.4455,2.85470576888367e-07,0.0002969179470215,5.01930681917359,reproduced,framework-novel anti-CEACAM5 row 28
SCBC_ASCL1,DLL3,1.42,0.42,1.6138,0.0211270329774678,0.297552159781507,7.25520929461451,reproduced; not significant after refit,"DLL3 false-negative analysis, Section 3.6"
SCBC_NEUROD1,SSTR2,2.16,,2.3,0.003832106233126,0.362913847252951,4.87327167526169,reproduced; not significant after refit,framework-novel Lu-DOTATATE row 29
SCBC_POU2F3,PLA2G4A,,,5.9667,3.1339404041589803e-09,1.28086916705192e-05,3.22895769100172,"direction up, q<0.05",COX inhibition row 30
SCBC_POU2F3,PTGS1,,,3.5601,3.89037802702381e-05,0.0125949838356163,6.16525097535161,"direction up, q<0.05",COX inhibition row 30
MIBC_KINOME,ERBB2,,,1.8696,1.80696196411692e-05,0.0001162637369017,11.6093741444069,"direction up, q<0.05",MIBC kinome context
MIBC_KINOME,FGFR3,,,3.0855,0.0011617331882484,0.0036415867247019,9.74564848676155,"direction up, q<0.05",erdafitinib row
NEPC_CXCR7,AURKA,,,-0.8948,1.90104956720877e-06,4.27889188812536e-05,2.73981156365841,"direction down, q<0.05",alisertib row (CXCR7-AURKA axis)
HLRCC,EPAS1,,,-0.202,0.461073064471253,0.620610476583274,8.07872613986505,"direction down, not significant",belzutifan row (adjacent-disease support)
