analysis,pathway,overlap_k,pathway_size_K,de_set_size_n,universe_N,pvalue,overlap_genes,qvalue_BH
RMC-2C,Cell_Cycle,11,154,1262,23841,0.19357633561216347,CCND1; CCND2; CDC7; DBF4; E2F2; GADD45A; GADD45B; MYC; ORC6; TRIP13; YWHAG,0.26802877238607253
RMC-2C,Apoptosis,19,126,1262,23841,3.5377494381130384e-05,BCL2; BCL2L1; BIRC2; BIRC3; CFLAR; CHUK; CTSV; CYCS; DDIT3; FOS; GADD45A; GADD45B; HRK; JUN; MAP3K14; MCL1; NFKBIA; TNFRSF10A; TRAF1,0.0006367948988603469
RMC-2C,HIF1_signaling,14,95,1262,23841,0.00046403343571765036,BCL2; CAMK2D; EDN1; EGFR; EPAS1; HK2; HMOX1; IFNGR1; IL6; MKNK2; RPS6KB1; SERPINE1; VEGFA; VHL,0.0024999825730408804
RMC-2C,VEGF_signaling,2,54,1262,23841,0.7872487091946241,PLA2G4C; VEGFA,0.7872487091946241
RMC-2C,Homologous_Recombination,4,40,1262,23841,0.15981554691870523,BRCA2; MUS81; RAD51D; XRCC2,0.2552800587670635
RMC-2C,PI3K_AKT_signaling,29,287,1262,23841,0.0006747110597095007,AREG; BCL2; BCL2L1; CCND1; CCND2; CHUK; COL6A3; EGFR; EPHA2; FGF2; HGF; IGF2; IL6; ITGA10; ITGB6; JAK1; JAK2; LAMB3; LAMC2; MCL1; MYC; NR4A1; PCK2; PDGFA; RPS6KB1; THBS2; TLR2; VEGFA; YWHAG,0.0024999825730408804
RMC-2C,p53_signaling,12,74,1262,23841,0.00047970096361258865,ADGRB1; BCL2; BCL2L1; CCND1; CCND2; CYCS; GADD45A; GADD45B; MDM4; SERPINE1; SESN2; TNFRSF10A,0.0024999825730408804
RMC-2C,Chemokine_signaling,12,135,1262,23841,0.05462206014228727,BCAR1; CHUK; CXCL1; CXCL2; CXCL3; CXCL5; CXCL8; GNAQ; GRK3; JAK2; NFKBIA; NFKBIB,0.12289963532014636
RMC-2C,Cytokine_receptor_interaction,16,164,1262,23841,0.013614003979271753,BMP6; CLCF1; CXCL1; CXCL2; CXCL3; CXCL5; CXCL8; GDF15; IFNGR1; IL1A; IL1RAP; IL32; IL6; INHBE; LIF; TNFRSF10A,0.035007438803841655
RMC-2C,Antigen_processing_presentation,4,51,1262,23841,0.28385587992646255,CD74; HSPA6; PSME3; TAP2,0.340627055911755
RMC-2C,PDL1_PD1_checkpoint,12,77,1262,23841,0.0006944396036224667,CHUK; EGFR; FOS; IFNGR1; JAK1; JAK2; JUN; NFKBIA; NFKBIB; RASGRP1; RPS6KB1; TLR2,0.0024999825730408804
RMC-2C,Pentose_phosphate_pathway,1,28,1262,23841,0.7820978899317499,RPIA,0.7872487091946241
RMC-2C,Arachidonic_acid_metabolism,4,41,1262,23841,0.170186705844709,ALOXE3; PLA2G4C; PLAAT2; PLAAT3,0.2552800587670635
RMC-2C,Neuroactive_ligand_receptor,11,162,1262,23841,0.24001972249521805,ADRA2C; ADRB2; CHRNB2; EDN1; EDN2; GABBR2; NMB; OXTR; RXFP1; RXFP4; S1PR2,0.30859678606528035
RMC-2C,Prostate_cancer,8,94,1262,23841,0.12468280072887847,BCL2; CCND1; CHUK; E2F2; EGFR; NFKBIA; PDGFA; TCF7L1,0.24936560145775694
RMC-2C,Bladder_cancer,8,40,1262,23841,0.0010177658229049795,CCND1; CXCL8; E2F2; EGFR; HBEGF; MYC; RASSF1; VEGFA,0.0030532974687149383
RMC-2C,Renal_cell_carcinoma,6,67,1262,23841,0.1429060884139882,EPAS1; ETS1; HGF; JUN; VEGFA; VHL,0.2552800587670635
RMC-2C,Epigenetic_Regulation,4,91,1262,23841,0.7163005965541918,BMI1; EZH1; TET3; UHRF2,0.7872487091946241
RMC219,Cell_Cycle,13,154,857,23841,0.003803589138984265,CCND1; CCNE1; CCNE2; CDC25A; CDC6; CDCA5; CDKN1A; CDKN2B; E2F1; E2F4; GADD45A; MYC; PKMYT1,0.006846460450171678
RMC219,Apoptosis,16,126,857,23841,1.2015242973051173e-05,AKT1; BID; BIRC2; CYCS; FOS; GADD45A; HRAS; JUN; MCL1; NFKB1; PMAIP1; TNF; TNFRSF10A; TRAF2; TUBA1C; TUBA4A,5.406859337873028e-05
RMC219,HIF1_signaling,14,95,857,23841,7.413255459962866e-06,AKT1; ALDOA; ALDOC; CDKN1A; EDN1; EGLN1; EIF4EBP1; HK2; NFKB1; PDK1; PFKP; PGK1; SLC2A1; TIMP1,4.44795327597772e-05
RMC219,VEGF_signaling,3,54,857,23841,0.30703335310667895,AKT1; HRAS; PXN,0.36844002372801476
RMC219,Homologous_Recombination,2,40,857,23841,0.42401237183190266,RPA2; XRCC3,0.47701391831089046
RMC219,PI3K_AKT_signaling,19,287,857,23841,0.008134193431366824,AKT1; BDNF; CCND1; CCNE1; CCNE2; CDC37; CDKN1A; EIF4EBP1; EPHA2; FLT4; GYS1; HRAS; HSP90AA1; HSP90AB1; LAMC3; MCL1; MYC; NFKB1; THBS1,0.013310498342236621
