gene,l2fc_12h_2C,q_12h_2C,l2fc_48h_2C,q_48h_2C,l2fc_disease_12h_2C,l2fc_disease_48h_2C,l2fc_12h_219,q_12h_219,l2fc_48h_219,q_48h_219,l2fc_disease_12h_219,l2fc_disease_48h_219,up_RMC2C,up_RMC219,up_both,mean_l2fc_disease_48h
TSPAN6,-0.0932785011614759,0.471498180598263,0.703048172989129,3.18264929696558e-16,0.0932785011614759,-0.703048172989129,-0.00531424426334777,0.999847911406781,0.252234468031482,0.00930347084081037,0.00531424426334777,-0.252234468031482,False,False,False,-0.4776413205103055
DPM1,0.519881465654092,3.71709319380929e-06,-0.190825518569578,0.119004669316914,-0.519881465654092,0.190825518569578,0.0178126512136943,0.999847911406781,-0.159132611060818,0.247192817991119,-0.0178126512136943,0.159132611060818,False,False,False,0.17497906481519798
SCYL3,-0.815058303427661,0.000191210850884139,-0.0351394589249487,0.915400425594682,0.815058303427661,0.0351394589249487,0.0385898905259282,0.999847911406781,0.203632432570541,0.220797825324703,-0.0385898905259282,-0.203632432570541,False,False,False,-0.08424648682279615
FIRRM,0.856925281901678,1.30575855748647e-09,0.0038424439577759,0.988226433838945,-0.856925281901678,-0.0038424439577759,-0.10882898867917,0.999847911406781,-0.305412273283862,0.00447727293246377,0.10882898867917,0.305412273283862,False,False,False,0.15078491466304306
FUCA2,-0.138595253906125,0.06372470742768,0.719635415506924,6.36561719617901e-38,0.138595253906125,-0.719635415506924,0.0212794320631998,0.999847911406781,0.183668353989989,0.11265809142031,-0.0212794320631998,-0.183668353989989,False,False,False,-0.4516518847484565
GCLC,-0.31009066093727,0.00594734364464519,0.214698549220608,0.036865236988705,0.31009066093727,-0.214698549220608,-0.0400969426551387,0.999847911406781,-0.0986188251290597,0.503889993116599,0.0400969426551387,0.0986188251290597,False,False,False,-0.058039862045774146
NFYA,0.16990345384804,0.136118315233377,-0.09417459795986,0.448626533422723,-0.16990345384804,0.09417459795986,0.0878440565940529,0.999847911406781,-0.0264081596439181,0.858017112918705,-0.0878440565940529,0.0264081596439181,False,False,False,0.06029137880188905
STPG1,-0.184322928393372,0.391227361636285,0.301379419390495,0.0784942634205426,0.184322928393372,-0.301379419390495,0.122784015282566,0.999847911406781,0.81030122958709,5.25891823603527e-08,-0.122784015282566,-0.81030122958709,False,False,False,-0.5558403244887925
NIPAL3,-0.223843407697109,0.0681607156536957,1.47913664957048,3.11899550658648e-68,0.223843407697109,-1.47913664957048,0.00742300187637152,0.999847911406781,0.689332796988982,3.01101312084824e-09,-0.00742300187637152,-0.689332796988982,False,False,False,-1.0842347232797311
LAS1L,0.787664973117293,7.55353534855785e-45,-0.188299722244098,0.000922012080620835,-0.787664973117293,0.188299722244098,-0.0151505805959362,0.999847911406781,-0.268951009864468,0.0207099894686607,0.0151505805959362,0.268951009864468,False,False,False,0.22862536605428302
ENPP4,-0.534079005574607,0.00747618507373203,-0.135814074039227,0.571733071249376,0.534079005574607,0.135814074039227,0.0360868826263411,0.999847911406781,0.270627732064167,0.312076067250234,-0.0360868826263411,-0.270627732064167,False,False,False,-0.06740682901247001
SEMA3F,0.105735364589439,0.743890931577824,2.65537051290046,9.15809823832497e-55,-0.105735364589439,-2.65537051290046,0.493560541774101,0.999847911406781,0.874433888212256,0.0237143136563142,-0.493560541774101,-0.874433888212256,False,False,False,-1.764902200556358
ANKIB1,-0.149976293098749,0.0730533871652361,0.0307661714831393,0.780696398231759,0.149976293098749,-0.0307661714831393,0.0392978101175011,0.999847911406781,0.253737818160004,0.109554235596979,-0.0392978101175011,-0.253737818160004,False,False,False,-0.14225199482157166
CYP51A1,0.00358080518108904,0.992827363844826,-0.427935765603649,0.151541714606578,-0.00358080518108904,0.427935765603649,-0.191750976462532,0.999847911406781,-0.781726532335592,0.0996209702491646,0.191750976462532,0.781726532335592,False,False,False,0.6048311489696205
KRIT1,-0.407887775039997,0.0042971153165977,-0.19167784222963,0.183892439251073,0.407887775039997,0.19167784222963,0.0210190513494548,0.999847911406781,0.0826601779596282,0.558615247708359,-0.0210190513494548,-0.0826601779596282,False,False,False,0.0545088321350009
RAD52,-1.16248314228056,2.1886922569904e-09,-0.467403897931022,0.00696927546695987,1.16248314228056,0.467403897931022,-0.0400302714940005,0.999847911406781,0.088089610000184,0.623085618201086,0.0400302714940005,-0.088089610000184,False,False,False,0.189657143965419
MYH16,4.19630999142092,1.57789904956852e-14,1.80346221909621,0.00282857345131783,-4.19630999142092,-1.80346221909621,0.875358264678045,0.999847911406781,0.581784500366199,0.602834106988972,-0.875358264678045,-0.581784500366199,False,False,False,-1.1926233597312046
BAD,-0.0350416332729512,0.727729255303271,-0.10541828950967,0.183774342187905,0.0350416332729512,0.10541828950967,-0.214942325840277,0.999847911406781,-0.106305704476031,0.728382390675835,0.214942325840277,0.106305704476031,False,False,False,0.1058619969928505
LAP3,0.346028261067024,0.000681712621144261,0.265791115211132,0.00521850427934565,-0.346028261067024,-0.265791115211132,0.144360217063298,0.999847911406781,-0.176186334640585,0.17777402818506,-0.144360217063298,0.176186334640585,False,False,False,-0.04480239028527351
CD99,-0.217717143985807,0.00082376305547719,0.296694433258037,1.38087141856141e-07,0.217717143985807,-0.296694433258037,0.0324003857433107,0.999847911406781,0.857201658572964,0.0532029057217445,-0.0324003857433107,-0.857201658572964,False,False,False,-0.5769480459155005
HS3ST1,0.14541399423664,0.941666571503634,1.37884875078618,0.302089229289044,-0.14541399423664,-1.37884875078618,0.140632702784755,,1.56713269775502,,-0.140632702784755,-1.56713269775502,False,False,False,-1.4729907242706
AOC1,0.0745829075756843,0.985386775767713,6.5365161865631,5.39695272883886e-06,-0.0745829075756843,-6.5365161865631,0.140656838995207,,2.8054343601332,,-0.140656838995207,-2.8054343601332,False,False,False,-4.67097527334815
HECW1,-3.35967114065941,0.103883597262365,2.57033309050051,0.0186657502240977,3.35967114065941,-2.57033309050051,1.10240722625775,,0.303723120800225,,-1.10240722625775,-0.303723120800225,False,False,False,-1.4370281056503675
MAD1L1,0.527598748614716,3.04646418562698e-11,-0.144862302034443,0.0899840838003214,-0.527598748614716,0.144862302034443,-0.0638819846576895,0.999847911406781,-0.385635278990989,0.00210380761596448,0.0638819846576895,0.385635278990989,False,False,False,0.265248790512716
LASP1,0.560972981731373,2.73512112171047e-26,1.00275543980269,4.04352634634474e-103,-0.560972981731373,-1.00275543980269,0.104673913803381,0.999847911406781,0.161045901476634,0.0453811300605936,-0.104673913803381,-0.161045901476634,False,False,False,-0.5819006706396621
SNX11,0.263681746105934,0.0259743933735139,-0.232137788248809,0.0400620611228865,-0.263681746105934,0.232137788248809,0.0180836500026395,0.999847911406781,-0.212144001540505,0.100423962564233,-0.0180836500026395,0.212144001540505,False,False,False,0.222140894894657
M6PR,-0.122807675228916,0.0703949661407757,-0.527697693252084,7.87184776260751e-23,0.122807675228916,0.527697693252084,-0.0209432940615274,0.999847911406781,-0.58100062170042,7.28495911046741e-12,0.0209432940615274,0.58100062170042,True,True,True,0.554349157476252
KLHL13,-0.368030883139401,0.00572961677765351,2.06693644699631,1.56299379924025e-110,0.368030883139401,-2.06693644699631,0.303487808030105,0.999847911406781,0.853220843252124,3.23835985545896e-10,-0.303487808030105,-0.853220843252124,False,False,False,-1.460078645124217
CYP26B1,2.00485133549877,0.029844540190276,5.95471930458072,9.05323897071998e-16,-2.00485133549877,-5.95471930458072,0.12429698146978,0.999847911406781,-0.356071978465941,0.525516080364142,-0.12429698146978,0.356071978465941,False,False,False,-2.7993236630573892
ICA1,-1.14347384138363,1.68293789058759e-08,-0.0782146189835286,0.7732331086417,1.14347384138363,0.0782146189835286,-0.0370580692823379,0.999847911406781,0.0493856114117325,0.790394858051685,0.0370580692823379,-0.0493856114117325,False,False,False,0.014414503785898054
DBNDD1,0.609436487005558,1.4285702105774e-11,0.444765891766711,8.17613002771086e-08,-0.609436487005558,-0.444765891766711,-0.0601526330870698,0.999847911406781,0.339954620898191,0.0112227006978744,0.0601526330870698,-0.339954620898191,False,False,False,-0.392360256332451
ALS2,-0.263471613327387,0.000812664188470667,-0.0844831697913637,0.331745005731619,0.263471613327387,0.0844831697913637,0.17869087042644,0.999847911406781,0.280172954864456,0.0497439860777779,-0.17869087042644,-0.280172954864456,False,False,False,-0.09784489253654614
CASP10,-0.721827329605762,1.97659040215027e-08,0.197404646960068,0.118415797857808,0.721827329605762,-0.197404646960068,0.315014313074689,0.999847911406781,1.05704970565536,0.414405997797279,-0.315014313074689,-1.05704970565536,False,False,False,-0.627227176307714
CFLAR,-0.276732820514389,4.0156270358525e-07,-0.805903647495028,5.57409150435851e-65,0.276732820514389,0.805903647495028,0.00374988664288972,0.999847911406781,-0.11277874089155,0.340668707668179,-0.00374988664288972,0.11277874089155,True,False,False,0.459341194193289
TFPI,-0.490697516342797,3.27297315784394e-09,0.566446802050469,4.42344108564211e-15,0.490697516342797,-0.566446802050469,-0.134186698853163,0.999847911406781,-0.0460930578118375,0.892985455620134,0.134186698853163,0.0460930578118375,False,False,False,-0.2601768721193158
NDUFAF7,-0.0771211057906414,0.705433724837758,0.0651333203468942,0.762661864546017,0.0771211057906414,-0.0651333203468942,-0.0338056200574538,0.999847911406781,0.0996202187403206,0.547434392526981,0.0338056200574538,-0.0996202187403206,False,False,False,-0.0823767695436074
RBM5,-0.639790900175994,4.86773110936349e-11,0.239516462824259,0.00689341196097244,0.639790900175994,-0.239516462824259,0.0530520043008708,0.999847911406781,0.0664298220672692,0.559079093319645,-0.0530520043008708,-0.0664298220672692,False,False,False,-0.1529731424457641
MTMR7,1.59693975415691,0.109227643775217,-0.623606312885477,0.662611772209094,-1.59693975415691,0.623606312885477,-1.77029308472012,,-1.60722843396395,,1.77029308472012,1.60722843396395,False,False,False,1.1154173734247135
SLC7A2,1.04632031652539,1.31761166798083e-47,-0.0910648219137992,0.320000504127573,-1.04632031652539,0.0910648219137992,-0.821138118502823,,-0.658065565777197,,0.821138118502823,0.658065565777197,False,False,False,0.3745651938454981
ARF5,-0.451640115696311,4.71149472102239e-10,0.185689766170072,0.00565843001252603,0.451640115696311,-0.185689766170072,-0.0447681452771948,0.999847911406781,0.130487486481826,0.433017422889527,0.0447681452771948,-0.130487486481826,False,False,False,-0.158088626325949
SARM1,-0.854202013040213,0.0354151204882305,-0.166402725188617,0.736830984862311,0.854202013040213,0.166402725188617,-0.192075437967782,0.999847911406781,0.467330687842215,0.630384383941,0.192075437967782,-0.467330687842215,False,False,False,-0.150463981326799
POLDIP2,0.533407527582486,3.54197070536069e-21,0.0203181567379199,0.821702186093123,-0.533407527582486,-0.0203181567379199,-0.00928146097924655,0.999847911406781,-0.259385222861116,0.015498864470872,0.00928146097924655,0.259385222861116,False,False,False,0.11953353306159804
PLXND1,0.151590347778709,0.141910153227158,0.0756928954690408,0.510267113083805,-0.151590347778709,-0.0756928954690408,0.264538588267092,0.999847911406781,0.0753818815427603,0.760718914913096,-0.264538588267092,-0.0753818815427603,False,False,False,-0.07553738850590055
AK2,0.40521225877668,1.03586157284727e-13,-0.224248743407544,1.62686703760109e-05,-0.40521225877668,0.224248743407544,-0.038636515045942,0.999847911406781,-0.529482905378619,1.07839632168545e-13,0.038636515045942,0.529482905378619,False,True,False,0.37686582439308147
CD38,-0.614846739945122,0.835718201880776,-0.527015226709802,0.8652460005806,0.614846739945122,0.527015226709802,-0.939631650344546,,-0.516676857157294,,0.939631650344546,0.516676857157294,False,False,False,0.521846041933548
FKBP4,1.68599935122647,2.01671873159194e-225,0.105005395788201,0.0759823666443561,-1.68599935122647,-0.105005395788201,-0.0397694386632045,0.999847911406781,-0.658237984530465,2.14397514396628e-15,0.0397694386632045,0.658237984530465,False,True,False,0.276616294371132
KDM1A,0.483431229907751,1.6347511248483e-18,0.0839199406033539,0.178422637292062,-0.483431229907751,-0.0839199406033539,-0.000374044015936493,0.999847911406781,0.102120752230806,0.406851780420374,0.000374044015936493,-0.102120752230806,False,False,False,-0.09302034641707996
RBM6,0.205463394758488,0.0328434146760062,-0.243181980248204,0.0051233861045716,-0.205463394758488,0.243181980248204,0.0570587186997065,0.999847911406781,-0.126533119858177,0.320029524371155,-0.0570587186997065,0.126533119858177,False,False,False,0.1848575500531905
CAMKK1,0.997124798842507,0.0160394883214931,0.719659854101264,0.0791333951693493,-0.997124798842507,-0.719659854101264,-0.0124892660333346,0.999847911406781,0.227686408374205,0.557430217615662,0.0124892660333346,-0.227686408374205,False,False,False,-0.47367313123773447
RECQL,0.400989400932707,1.24065824924062e-07,-0.0822416971489135,0.372339783765309,-0.400989400932707,0.0822416971489135,0.0410853944743669,0.999847911406781,-0.143218008360193,0.335200900940732,-0.0410853944743669,0.143218008360193,False,False,False,0.11272985275455324
VPS50,-0.620159097742137,5.26456740825103e-05,-0.047644112900094,0.828660377637169,0.620159097742137,0.047644112900094,-0.0756460830381814,0.999847911406781,0.108694714755568,0.579596670650139,0.0756460830381814,-0.108694714755568,False,False,False,-0.030525300927736997
HSPB6,-1.21326195425182,0.361703828056531,-0.284283230482136,0.851135259723286,1.21326195425182,0.284283230482136,1.13530618228026,,0.584476803771757,,-1.13530618228026,-0.584476803771757,False,False,False,-0.15009678664481052
ARHGAP33,0.553519977561993,0.135844928642093,0.575693975991922,0.0877778951823897,-0.553519977561993,-0.575693975991922,-0.077466579750513,0.999847911406781,0.226401276889529,0.478909805082696,0.077466579750513,-0.226401276889529,False,False,False,-0.40104762644072545
NDUFAB1,0.823406549045731,1.39352975050419e-20,-0.0823215420430078,0.494504602714539,-0.823406549045731,0.0823215420430078,-0.116897939696942,0.999847911406781,-0.29705161666325,0.0194467606840277,0.116897939696942,0.29705161666325,False,False,False,0.18968657935312888
PDK4,0.672321638586327,0.617600414426236,2.78928747117636,0.00144681121207939,-0.672321638586327,-2.78928747117636,2.72755044863731,0.999847911406781,4.18263946270226,0.00897293639420113,-2.72755044863731,-4.18263946270226,False,False,False,-3.48596346693931
SLC22A16,-0.887196708708277,,1.25436584187073,,0.887196708708277,-1.25436584187073,2.55716637677469,,0.303723120800225,,-2.55716637677469,-0.303723120800225,False,False,False,-0.7790444813354775
