N,Context,Target,scoring_gene,arm,refit_context,E_refit,E_published,E_derivable_from_data,E_basis,refit_log2FC,refit_q,P_refit,P_published,P_basis,pathway_q,G_curated,L_curated,Total,Tier
1,NEPC,BCL2,BCL2,expression,NEPC_DECITABINE,2,2,True,"BCL2 at 88.0th percentile of 37,788 measured (NEPC_DECITABINE)",,,0,0,nan: q n/a (not enriched at q<0.1); target not in pathway set,,3,1,6,Moderate
2,NEPC,AURKA / CXCR7→AURKA axis,AURKA,de,NEPC_CXCR7,2,2,True,"AURKA log2FC -0.89, q 4.28e-05 (NEPC_CXCR7, refit)",-0.894839359572062,4.27889188812536e-05,1,2,Neuroactive_ligand_receptor: q 0.0103 (enriched at q<0.1); target not in pathway set,0.0103348298426636,1,1,5,Moderate
3,NEPC,EZH2,EZH2,expression,NEPC_DECITABINE,2,2,True,"EZH2 at 88.1th percentile of 37,788 measured (NEPC_DECITABINE)",,,1,1,Epigenetic_Regulation: q 1 (not enriched at q<0.1); target in pathway set,1.0,2,1,6,Moderate
4,NEPC,DNMT1/3A,DNMT1,de,NEPC_DNMT,3,3,True,"DNMT1 log2FC -1.11, q 9.64e-06 (NEPC_DNMT, refit)",-1.10606600269599,9.64160763598017e-06,1,1,Epigenetic_Regulation: q 1 (not enriched at q<0.1); target in pathway set,1.0,2,1,7,Strong
5,NEPC,TP53-mutated platinum-sensitive,TP53,expression,NEPC_DECITABINE,2,0,True,"TP53 at 89.9th percentile of 37,788 measured (NEPC_DECITABINE)",,,1,1,p53_signaling: q 1 (not enriched at q<0.1); target in pathway set,1.0,3,1,7,Strong
6,NEPC,PARP1/2 (HRR-mutated subset),PARP1,expression,NEPC_DECITABINE,3,3,True,"PARP1 at 98.8th percentile of 37,788 measured (NEPC_DECITABINE)",,,0,0,nan: q n/a (not enriched at q<0.1); target not in pathway set,,2,1,6,Moderate
7,MIBC / MPBC,AURKA / AURKB,AURKA,de,MIBC_KINOME,3,3,True,"AURKA log2FC +4.13, q 4.36e-10 (MIBC_KINOME, refit)",4.12972312747535,4.35559080801442e-10,1,1,Cell_Cycle: q 0.00563 (enriched at q<0.1); target not in pathway set,0.0056345224447106,1,1,6,Moderate
8,MIBC / MPBC,PARP (ERCC2/ATM/BRCA-mutated),ATM,expression,MIBC_KINOME,0,2,True,ATM at 7.7th percentile of 535 measured (MIBC_KINOME),,,0,0,nan: q n/a (not enriched at q<0.1); target not in pathway set,,2,1,3,Exploratory
9,MIBC / MPBC,PIK3CA (mutant),PIK3CA,de,MIBC_KINOME,1,1,False,PIK3CA not measured on the MIBC_KINOME platform; NOT RE-DERIVABLE - curated value retained,,,0,0,nan: q n/a (not enriched at q<0.1); target not in pathway set,,2,1,4,Moderate
10,MIBC / MPBC,FGFR2 / FGFR3,FGFR3,de,MIBC_KINOME,3,3,True,"FGFR3 log2FC +3.09, q 0.00364 (MIBC_KINOME, refit)",3.08552368374798,0.0036415867247019,0,0,nan: q n/a (not enriched at q<0.1); target not in pathway set,,2,1,6,Moderate
11,MIBC / MPBC,NECTIN-4,NECTIN4,expression,MIBC_KINOME,3,3,False,NECTIN4 not measured on the MIBC_KINOME platform; NOT RE-DERIVABLE - curated value retained,,,0,0,nan: q n/a (not enriched at q<0.1); target not in pathway set,,3,1,7,Strong
12,MIBC / MPBC,PD-1 / TMB-high,CD274,expression,MIBC_KINOME,1,1,False,CD274 not measured on the MIBC_KINOME platform; NOT RE-DERIVABLE - curated value retained,,,0,0,nan: q n/a (not enriched at q<0.1); target not in pathway set,,2,1,4,Moderate
13,MIBC / MPBC,CDK4/6 (CDKN2A-deleted),CDK4,de,MIBC_KINOME,0,1,True,"CDK4 log2FC +0.64, q 0.0625 (MIBC_KINOME, refit)",0.639521457046592,0.062471860059912,2,1,Cell_Cycle: q 0.00563 (enriched at q<0.1); target in pathway set,0.0056345224447106,2,1,5,Moderate
14,ccRCC / sRCC,VEGFR multikinase,KDR,expression,ccRCC_METS,3,3,True,"KDR at 99.5th percentile of 57,151 measured (ccRCC_METS)",,,1,1,VEGF_signaling: q 1 (not enriched at q<0.1); target in pathway set,1.0,2,1,7,Strong
15,ccRCC / sRCC,HIF2α / EPAS1,EPAS1,expression,ccRCC_METS,3,3,True,"EPAS1 at 99.9th percentile of 57,151 measured (ccRCC_METS)",,,1,1,HIF1_signaling: q 1 (not enriched at q<0.1); target in pathway set,1.0,2,1,7,Strong
16,ccRCC,CDK4/6,CDK4,expression,ccRCC_METS,2,2,True,"CDK4 at 91.9th percentile of 57,151 measured (ccRCC_METS)",,,0,0,nan: q n/a (not enriched at q<0.1); target not in pathway set,,0,0,2,Exploratory
17,RMC,CXCR1 / CXCR2 (IL-8/CXCL1/CXCL2 triad),CXCL8,de,RMC,3,3,True,"CXCL8 log2FC +2.32, q 1.37e-112 (RMC, refit)",2.31882330226163,1.37036685892139e-112,2,1,Chemokine_signaling: q 0.00252 (enriched at q<0.1); target in pathway set,0.002517266624895,3,0,8,Strong
18,RMC,EGFR (HBEGF ligand),HBEGF,de,RMC,3,3,True,"HBEGF log2FC +1.41, q 4.51e-10 (RMC, refit)",1.410420217067525,4.50997176271276e-10,1,1,Chemokine_signaling: q 0.00252 (enriched at q<0.1); target not in pathway set,0.002517266624895,3,1,8,Strong
