probe_id,log2fc,t_stat,pvalue,qvalue,gene
TC6_dbb_hap3000083.hg.1,9.008541666666668,17.59523438440774,6.658931481019799e-12,1.0557145276386508e-08,"NM_019111 // HLA-DRA // major histocompatibility complex, class II, DR alpha // 6p21.3 // 3122 /// BC032350 // HLA-DRA // major histocompatibility complex, class II, DR alpha // 6p21.3 // 3122 /// BC071659 // HLA-DRA // major histocompatibility complex, class II, DR alpha // 6p21.3 // 3122 /// OTTHUMT00000310411 // HLA-DRA // NULL // --- // --- /// OTTHUMT00000310412 // HLA-DRA // NULL // --- // --- /// OTTHUMT00000310413 // HLA-DRA // NULL // --- // ---"
TC6_ssto_hap7000076.hg.1,8.923958333333331,17.704927702729904,1.0090850516248904e-11,1.1954648309846596e-08,"NM_019111 // HLA-DRA // major histocompatibility complex, class II, DR alpha // 6p21.3 // 3122 /// BC032350 // HLA-DRA // major histocompatibility complex, class II, DR alpha // 6p21.3 // 3122 /// BC071659 // HLA-DRA // major histocompatibility complex, class II, DR alpha // 6p21.3 // 3122 /// OTTHUMT00000272882 // HLA-DRA // NULL // --- // --- /// OTTHUMT00000272883 // HLA-DRA // NULL // --- // --- /// OTTHUMT00000315582 // HLA-DRA // NULL // --- // ---"
TC6_mcf_hap5000075.hg.1,8.923958333333331,17.704927702729904,1.0090850516248904e-11,1.1954648309846596e-08,"NM_019111 // HLA-DRA // major histocompatibility complex, class II, DR alpha // 6p21.3 // 3122 /// BC032350 // HLA-DRA // major histocompatibility complex, class II, DR alpha // 6p21.3 // 3122 /// BC071659 // HLA-DRA // major histocompatibility complex, class II, DR alpha // 6p21.3 // 3122 /// OTTHUMT00000312465 // HLA-DRA // NULL // --- // --- /// OTTHUMT00000312466 // HLA-DRA // NULL // --- // --- /// OTTHUMT00000312467 // HLA-DRA // NULL // --- // ---"
TC6_qbl_hap6000081.hg.1,8.923958333333331,17.704927702729904,1.0090850516248904e-11,1.1954648309846596e-08,"NM_019111 // HLA-DRA // major histocompatibility complex, class II, DR alpha // 6p21.3 // 3122 /// BC032350 // HLA-DRA // major histocompatibility complex, class II, DR alpha // 6p21.3 // 3122 /// BC071659 // HLA-DRA // major histocompatibility complex, class II, DR alpha // 6p21.3 // 3122 /// OTTHUMT00000035643 // HLA-DRA // NULL // --- // --- /// OTTHUMT00000035644 // HLA-DRA // NULL // --- // --- /// OTTHUMT00000314440 // HLA-DRA // NULL // --- // ---"
TC6_mann_hap4000074.hg.1,8.922083333333337,17.768186272820465,9.183657566621785e-12,1.1954648309846596e-08,"NM_019111 // HLA-DRA // major histocompatibility complex, class II, DR alpha // 6p21.3 // 3122 /// BC032350 // HLA-DRA // major histocompatibility complex, class II, DR alpha // 6p21.3 // 3122 /// BC071659 // HLA-DRA // major histocompatibility complex, class II, DR alpha // 6p21.3 // 3122 /// OTTHUMT00000311456 // HLA-DRA // NULL // --- // --- /// OTTHUMT00000311457 // HLA-DRA // NULL // --- // --- /// OTTHUMT00000311458 // HLA-DRA // NULL // --- // ---"
TC18000124.hg.1,8.823958333333335,7.754817197198202,1.220352148390659e-06,9.770110259707365e-06,NM_001942 // DSG1 // desmoglein 1 // 18q12.1 // 1828 /// ENST00000257192 // DSG1 // desmoglein 1 // 18q12.1 // 1828 /// ENST00000462981 // DSG1 // desmoglein 1 // 18q12.1 // 1828 /// OTTHUMT00000254947 // DSG1 // NULL // --- // --- /// OTTHUMT00000258899 // DSG1 // NULL // --- // ---
TC06000399.hg.1,8.788541666666667,17.493083452291717,7.79474493323205e-12,1.1545908771162699e-08,"NM_019111 // HLA-DRA // major histocompatibility complex, class II, DR alpha // 6p21.3 // 3122 /// ENST00000374982 // HLA-DRA // major histocompatibility complex, class II, DR alpha // 6p21.3 // 3122 /// ENST00000395388 // HLA-DRA // major histocompatibility complex, class II, DR alpha // 6p21.3 // 3122 /// ENST00000462200 // HLA-DRA // major histocompatibility complex, class II, DR alpha // 6p21.3 // 3122 /// BC032350 // HLA-DRA // major histocompatibility complex, class II, DR alpha // 6p21.3 // 3122 /// BC071659 // HLA-DRA // major histocompatibility complex, class II, DR alpha // 6p21.3 // 3122 /// OTTHUMT00000076586 // HLA-DRA // NULL // --- // --- /// OTTHUMT00000076587 // HLA-DRA // NULL // --- // ---"
TC6_cox_hap2000090.hg.1,8.73125,17.38442010021231,8.484865508405252e-12,1.1954648309846596e-08,"NM_019111 // HLA-DRA // major histocompatibility complex, class II, DR alpha // 6p21.3 // 3122 /// BC032350 // HLA-DRA // major histocompatibility complex, class II, DR alpha // 6p21.3 // 3122 /// BC071659 // HLA-DRA // major histocompatibility complex, class II, DR alpha // 6p21.3 // 3122 /// OTTHUMT00000077317 // HLA-DRA // NULL // --- // --- /// OTTHUMT00000077318 // HLA-DRA // NULL // --- // --- /// OTTHUMT00000315079 // HLA-DRA // NULL // --- // ---"
TC12000611.hg.1,8.343124999999999,16.413329913453364,4.444485435090548e-11,2.672699119073798e-08,NM_000239 // LYZ // lysozyme // 12q15 // 4069 /// ENST00000261267 // LYZ // lysozyme // 12q15 // 4069 /// ENST00000548839 // LYZ // lysozyme // 12q15 // 4069 /// ENST00000549690 // LYZ // lysozyme // 12q15 // 4069 /// BC004147 // LYZ // lysozyme // 12q15 // 4069
TC0X001292.hg.1,8.030208333333334,10.952429369800877,1.1799032594372775e-08,5.280086633749535e-07,--- // --- // ncrna:snoRNA chromosome:GRCh37:X:114360879:114361007:-1 gene:ENSG00000222687 gene_biotype:snoRNA transcript_biotype:snoRNA // --- // ---
