context,comparison,gene,l2fc_12h_RMC2C,qval_12h_RMC2C,l2fc_48h_RMC2C,qval_48h_RMC2C,l2fc_12h_RMC219,qval_12h_RMC219,l2fc_48h_RMC219,qval_48h_RMC219,mean_l2fc_48h,probe_id,log2fc,pvalue,qvalue,t_stat,gene_annotation_raw,gene_symbol,log2FC_disease_state
RMC,"SMARCB1-null vs SMARCB1-rescue (disease state vs rescued control); raw l2fc columns are rescue-vs-null, so log2FC_disease_state = -mean_l2fc_48h",IL8,0.138993839526335,0.110080972323472,-2.53054924628184,1.4843641718919398e-216,-0.157276727248482,0.999847911406781,-2.10709735824142,1.37036685892139e-112,-2.31882330226163,,,,,,,IL8,2.31882330226163
RMC,"SMARCB1-null vs SMARCB1-rescue (disease state vs rescued control); raw l2fc columns are rescue-vs-null, so log2FC_disease_state = -mean_l2fc_48h",NR4A3,-0.714686092626955,0.356951006237214,-1.71431835703755,0.0092291232159517,0.0962493656451067,0.999847911406781,-2.04963291332859,3.36150853955943e-05,-1.8819756351830697,,,,,,,NR4A3,1.8819756351830697
RMC,"SMARCB1-null vs SMARCB1-rescue (disease state vs rescued control); raw l2fc columns are rescue-vs-null, so log2FC_disease_state = -mean_l2fc_48h",CXCL1,-1.24312279760237,3.42579661012084e-18,-2.23694725056376,3.57268809065999e-65,-0.203558574267903,0.999847911406781,-1.49084448958383,3.5449078793370396e-28,-1.863895870073795,,,,,,,CXCL1,1.863895870073795
RMC,"SMARCB1-null vs SMARCB1-rescue (disease state vs rescued control); raw l2fc columns are rescue-vs-null, so log2FC_disease_state = -mean_l2fc_48h",ANGPTL4,0.339690045600104,1.25544480663084e-08,-2.01115301206528,1.36178201699679e-278,-0.286817622769806,0.999847911406781,-1.67756434819428,4.468151618524401e-15,-1.84435868012978,,,,,,,ANGPTL4,1.84435868012978
RMC,"SMARCB1-null vs SMARCB1-rescue (disease state vs rescued control); raw l2fc columns are rescue-vs-null, so log2FC_disease_state = -mean_l2fc_48h",CXCL2,-2.71546937364749,1.52546288235778e-24,-1.8125926521484,1.79236319502861e-20,-0.426661173856327,0.999847911406781,-1.78904060427011,2.18232427613856e-06,-1.800816628209255,,,,,,,CXCL2,1.800816628209255
RMC,"SMARCB1-null vs SMARCB1-rescue (disease state vs rescued control); raw l2fc columns are rescue-vs-null, so log2FC_disease_state = -mean_l2fc_48h",NR4A2,-2.49826964700338,3.65814531923468e-06,-1.40245030444302,0.0006138315540975,0.0289643427918598,0.999847911406781,-1.92845599633766,7.98804361750894e-21,-1.66545315039034,,,,,,,NR4A2,1.66545315039034
RMC,"SMARCB1-null vs SMARCB1-rescue (disease state vs rescued control); raw l2fc columns are rescue-vs-null, so log2FC_disease_state = -mean_l2fc_48h",DHRS2,-0.539989047152785,0.0504152818543387,-1.11537891248841,1.7995359057767e-06,-0.771953702984822,0.999847911406781,-2.01891707310869,0.0453612122277507,-1.56714799279855,,,,,,,DHRS2,1.56714799279855
RMC,"SMARCB1-null vs SMARCB1-rescue (disease state vs rescued control); raw l2fc columns are rescue-vs-null, so log2FC_disease_state = -mean_l2fc_48h",CEACAM1,0.537806179526598,3.91914187801009e-13,-1.35603380263584,4.40023954891108e-80,-0.34461216356671,0.999847911406781,-1.4826054941214,2.14691118625299e-05,-1.41931964837862,,,,,,,CEACAM1,1.41931964837862
RMC,"SMARCB1-null vs SMARCB1-rescue (disease state vs rescued control); raw l2fc columns are rescue-vs-null, so log2FC_disease_state = -mean_l2fc_48h",HBEGF,1.22984100175771,4.898261442293701e-15,-1.04090205210595,4.50997176271276e-10,-0.0642397328258967,0.999847911406781,-1.7799383820291,5.84397646373897e-96,-1.410420217067525,,,,,,,HBEGF,1.410420217067525
RMC,"SMARCB1-null vs SMARCB1-rescue (disease state vs rescued control); raw l2fc columns are rescue-vs-null, so log2FC_disease_state = -mean_l2fc_48h",ALMS1-IT1,-0.111842606463697,0.915780090943106,-1.7567558250395,0.0225140391654218,-0.224367768044968,0.999847911406781,-1.02877028339713,0.0193715686993209,-1.392763054218315,,,,,,,ALMS1-IT1,1.392763054218315
RMC,"SMARCB1-null vs SMARCB1-rescue (disease state vs rescued control); raw l2fc columns are rescue-vs-null, so log2FC_disease_state = -mean_l2fc_48h",FOS,1.26618402574134,1.3035178609080798e-11,-1.46265819445595,1.2352636638904298e-12,-0.137618216553452,0.999847911406781,-1.2265917775673,3.33222736961907e-38,-1.344624986011625,,,,,,,FOS,1.344624986011625
RMC,"SMARCB1-null vs SMARCB1-rescue (disease state vs rescued control); raw l2fc columns are rescue-vs-null, so log2FC_disease_state = -mean_l2fc_48h",GADD45A,-1.39744235660575,1.98111324609088e-42,-1.35087833641385,5.401262690745702e-53,-0.127921595116774,0.999847911406781,-1.05008512472894,4.0250204607747e-25,-1.2004817305713948,,,,,,,GADD45A,1.2004817305713948
